date,close
2023-10-16,23.95
2023-10-17,23.93
2023-10-18,23.42
2023-10-19,24.93
2023-10-20,27.03
2023-10-21,29.32
2023-10-22,29.05
2023-10-23,31.88
2023-10-24,30.17
2023-10-25,32.44
2023-10-26,32.77
2023-10-27,31.73
2023-10-28,31.63
2023-10-29,32.83
2023-10-30,34.94
2023-10-31,38.4
2023-11-01,41.15
2023-11-02,40.23
2023-11-03,39.45
2023-11-04,42.41
2023-11-05,41.15
2023-11-06,42.16
2023-11-07,42.93
2023-11-08,43.13
2023-11-09,45.29
2023-11-10,56.67
2023-11-11,56.34
2023-11-12,56.28
2023-11-13,51.6
2023-11-14,56.81
2023-11-15,65.43
2023-11-16,57.8
2023-11-17,58.51
2023-11-18,58.56
2023-11-19,61.1
2023-11-20,56.57
2023-11-21,51.65
2023-11-22,57.56
2023-11-23,56.51
2023-11-24,56.86
2023-11-25,58.82
2023-11-26,57.57
2023-11-27,55.06
2023-11-28,58.18
2023-11-29,59.31
2023-11-30,59.3
2023-12-01,59.75
2023-12-02,63.66
2023-12-03,62.98
2023-12-04,61.64
2023-12-05,61.03
2023-12-06,61.85
2023-12-07,67.74
2023-12-08,74.94
2023-12-09,72.3
2023-12-10,74.87
2023-12-11,70.25
2023-12-12,68.6
2023-12-13,70.62
2023-12-14,75.68
2023-12-15,72.51
2023-12-16,73.72
2023-12-17,70.87
2023-12-18,74.42
2023-12-19,73.0
2023-12-20,82.21
2023-12-21,93.84
2023-12-22,97.9
2023-12-23,107.88
2023-12-24,112.45
2023-12-25,120.91
2023-12-26,112.49
2023-12-27,106.91
2023-12-28,101.8
2023-12-29,106.17
2023-12-30,101.9
2023-12-31,101.72
2024-01-01,109.91
2024-01-02,106.73
2024-01-03,98.52
2024-01-04,104.91
2024-01-05,99.94
2024-01-06,93.77
2024-01-07,89.44
2024-01-08,97.88
2024-01-09,99.36
2024-01-10,102.0
2024-01-11,99.9
2024-01-12,92.12
2024-01-13,95.85
2024-01-14,93.81
2024-01-15,94.36
2024-01-16,97.61
2024-01-17,102.1
2024-01-18,94.4
2024-01-19,93.62
2024-01-20,92.88
2024-01-21,91.09
2024-01-22,83.84
2024-01-23,84.35
2024-01-24,88.77
2024-01-25,86.91
2024-01-26,92.28
2024-01-27,94.28
2024-01-28,95.98
2024-01-29,101.68
2024-01-30,101.4
2024-01-31,96.96
2024-02-01,97.81
2024-02-02,100.58
2024-02-03,97.96
2024-02-04,95.49
2024-02-05,95.66
2024-02-06,96.88
2024-02-07,101.14
2024-02-08,102.76
2024-02-09,106.94
2024-02-10,109.01
2024-02-11,107.46
2024-02-12,111.64
2024-02-13,112.48
2024-02-14,116.97
2024-02-15,113.5
2024-02-16,110.33
2024-02-17,108.92
2024-02-18,112.24
2024-02-19,111.53
2024-02-20,108.31
2024-02-21,105.03
2024-02-22,101.76
2024-02-23,99.9
2024-02-24,104.01
2024-02-25,103.47
2024-02-26,109.9
2024-02-27,108.36
2024-02-28,119.03
2024-02-29,125.68
2024-03-01,129.43
2024-03-02,130.02
2024-03-03,130.16
2024-03-04,133.27
2024-03-05,125.31
2024-03-06,130.79
2024-03-07,143.82
2024-03-08,144.79
2024-03-09,144.29
2024-03-10,144.39
2024-03-11,148.83
2024-03-12,151.05
2024-03-13,163.9
2024-03-14,176.65
2024-03-15,183.95
2024-03-16,182.05
2024-03-17,201.86
2024-03-18,195.92
2024-03-19,169.82
2024-03-20,191.77
2024-03-21,179.46
2024-03-22,175.21
2024-03-23,172.65
2024-03-24,183.88
2024-03-25,188.99
2024-03-26,190.46
2024-03-27,186.33
2024-03-28,189.63
2024-03-29,192.01
2024-03-30,194.2
2024-03-31,202.45
2024-04-01,192.24
2024-04-02,181.53
2024-04-03,185.05
2024-04-04,184.0
2024-04-05,174.37
2024-04-06,178.68
2024-04-07,179.52
2024-04-08,180.68
2024-04-09,172.42
2024-04-10,173.31
2024-04-11,172.37
2024-04-12,153.16
2024-04-13,138.47
2024-04-14,151.25
2024-04-15,138.51
2024-04-16,136.22
2024-04-17,131.84
2024-04-18,142.07
2024-04-19,142.5
2024-04-20,151.22
2024-04-21,148.8
2024-04-22,156.95
2024-04-23,154.75
2024-04-24,147.78
2024-04-25,144.84
2024-04-26,139.23
2024-04-27,141.31
2024-04-28,137.99
2024-04-29,137.77
2024-04-30,126.77
2024-05-01,134.64
2024-05-02,137.58
2024-05-03,143.69
2024-05-04,146.05
2024-05-05,145.73
2024-05-06,152.82
2024-05-07,148.03
2024-05-08,142.18
2024-05-09,152.57
2024-05-10,146.01
2024-05-11,145.42
2024-05-12,143.43
2024-05-13,147.54
2024-05-14,142.03
2024-05-15,158.52
2024-05-16,159.37
2024-05-17,169.44
2024-05-18,172.4
2024-05-19,169.93
2024-05-20,186.7
2024-05-21,178.15
2024-05-22,176.95
2024-05-23,176.16
2024-05-24,167.7
2024-05-25,168.35
2024-05-26,163.41
2024-05-27,170.15
2024-05-28,168.68
2024-05-29,168.32
