scope,setup,one_way_cost_bps,trades,win_rate,average_net_return_bps,cumulative_net_return,max_drawdown
all,all,0.0,1153,0.4535993061578491,11.607641556695148,2.5219208672637397,-0.15418740090048888
all,all,1.0,1153,0.43798785776235905,3.1431665405054314,0.32768991407206705,-0.4400963412596014
all,all,2.0,1153,0.42671292281006074,-5.321308475684284,-0.500002652899631,-0.6403167597374033
all,all,2.5,1153,0.4206418039895924,-9.553545983779141,-0.6932845793504904,-0.7334864283528368
all,all,3.0,1153,0.4137033824804857,-13.785783491873998,-0.8118987882913938,-0.8349524831878857
all,all,5.0,1153,0.3668690372940156,-30.714733524253433,-0.9734604611269302,-0.9762677563719336
all,all,10.0,1153,0.2940156114483955,-73.037108605202,-0.9998051311370069,-0.9998172751695588
all,all,15.0,1153,0.23070251517779705,-115.3594836861506,-0.9999986062609106,-0.9999986294238313
all,all,20.0,1153,0.1717259323503903,-157.68185876709916,-0.9999999902935183,-0.9999999902136852
all,opening_range_breakout,0.0,384,0.4661458333333333,18.900290466926137,1.0094552860027797,-0.09338360507904508
all,opening_range_breakout,1.0,384,0.4479166666666667,11.254428212667028,0.4986610483288958,-0.14985535219819868
all,opening_range_breakout,2.0,384,0.4427083333333333,3.6085659584079246,0.1174023622267284,-0.22936784992530912
all,opening_range_breakout,2.5,384,0.4348958333333333,-0.21436516872162983,-0.03524287774381707,-0.2760946823522733
all,opening_range_breakout,3.0,384,0.4296875,-4.03729629585118,-0.16709288174127213,-0.32001212768471254
all,opening_range_breakout,5.0,384,0.3932291666666667,-19.329020804369392,-0.537606269033719,-0.5678924044535871
all,opening_range_breakout,10.0,384,0.328125,-57.55833207566493,-0.8943314650556293,-0.8970352069162065
all,opening_range_breakout,15.0,384,0.2682291666666667,-95.78764334696045,-0.9760202254182149,-0.9759743644421561
all,opening_range_breakout,20.0,384,0.21354166666666666,-134.01695461825597,-0.9945965024210159,-0.9945337736040128
all,value_area_bounce,0.0,769,0.44733420026007803,7.966058745864588,0.7526744147014939,-0.19389287976065572
all,value_area_bounce,1.0,769,0.43302990897269183,-0.9071903933177846,-0.11408259022110079,-0.40779810023392604
all,value_area_bounce,2.0,769,0.4187256176853056,-9.780439532500159,-0.5525359852434993,-0.5944441650337251
all,value_area_bounce,2.5,769,0.4135240572171652,-14.217064102091348,-0.6820801696366589,-0.7108846702470568
all,value_area_bounce,3.0,769,0.4057217165149545,-18.653688671682527,-0.7741630398094685,-0.7939323127203404
all,value_area_bounce,5.0,769,0.35370611183355005,-36.40018695004728,-0.9426040253235936,-0.9469734232459375
all,value_area_bounce,10.0,769,0.27698309492847856,-80.76643264595914,-0.9981558477829215,-0.998251928121834
all,value_area_bounce,15.0,769,0.21196358907672302,-125.13267834187101,-0.9999418785575058,-0.999943469948593
all,value_area_bounce,20.0,769,0.1508452535760728,-169.4989240377829,-0.9999982036668761,-0.9999982071637362
development_2022_2024,all,0.0,790,0.43544303797468353,7.240180025919285,0.6827235036999999,-0.15418740090048888
development_2022_2024,all,1.0,790,0.4151898734177215,-0.9069863917299726,-0.11587584229459136,-0.4400963412596014
development_2022_2024,all,2.0,790,0.40632911392405063,-9.054152809379234,-0.5357738523815636,-0.6403167597374033
development_2022_2024,all,2.5,790,0.4,-13.127736018203862,-0.6636968066976556,-0.7117680266764645
development_2022_2024,all,3.0,790,0.3924050632911392,-17.20131922702849,-0.7564090883790974,-0.7771217678780666
development_2022_2024,all,5.0,790,0.3430379746835443,-33.495652062327004,-0.9330629392292259,-0.9340078166867993
development_2022_2024,all,10.0,790,0.27974683544303797,-74.23148415057331,-0.9973809387543231,-0.9973509196270791
development_2022_2024,all,15.0,790,0.22278481012658227,-114.96731623881959,-0.999899223441287,-0.9998977135808799
development_2022_2024,all,20.0,790,0.16582278481012658,-155.7031483270659,-0.9999961874463928,-0.9999961168099951
development_2022_2024,opening_range_breakout,0.0,268,0.4552238805970149,15.537294564262448,0.4875510567613317,-0.09338360507904508
development_2022_2024,opening_range_breakout,1.0,268,0.4291044776119403,7.803859211084816,0.20933380904757026,-0.14985535219819868
development_2022_2024,opening_range_breakout,2.0,268,0.4216417910447761,0.0704238579071914,-0.017042830718973723,-0.22936784992530912
development_2022_2024,opening_range_breakout,2.5,268,0.417910447761194,-3.796293818681622,-0.11387188909808843,-0.2760946823522733
development_2022_2024,opening_range_breakout,3.0,268,0.4141791044776119,-7.663011495270435,-0.2012021645563934,-0.32001212768471254
development_2022_2024,opening_range_breakout,5.0,268,0.3694029850746269,-23.12988220162569,-0.47279163548949765,-0.49140836286710876
development_2022_2024,opening_range_breakout,10.0,268,0.31716417910447764,-61.79705896751382,-0.8140806794590768,-0.8151880147626901
development_2022_2024,opening_range_breakout,15.0,268,0.2574626865671642,-100.46423573340196,-0.934766193872882,-0.934235228906049
development_2022_2024,opening_range_breakout,20.0,268,0.19402985074626866,-139.1314124992901,-0.9772280372363176,-0.9769636791489633
development_2022_2024,value_area_bounce,0.0,522,0.42528735632183906,2.980358768685633,0.13120386426506547,-0.19389287976065572
development_2022_2024,value_area_bounce,1.0,522,0.40804597701149425,-5.379221298922242,-0.26891636445547507,-0.40779810023392604
development_2022_2024,value_area_bounce,2.0,522,0.39846743295019155,-13.738801366530115,-0.52772494862824,-0.5753379445769518
development_2022_2024,value_area_bounce,2.5,522,0.39080459770114945,-17.918591400334055,-0.6204801662819931,-0.6460854834830118
development_2022_2024,value_area_bounce,3.0,522,0.38122605363984674,-22.09838143413799,-0.695053115053039,-0.7100216588100636
development_2022_2024,value_area_bounce,5.0,522,0.32950191570881227,-38.81754156935375,-0.8730349036989896,-0.8761176023725001
development_2022_2024,value_area_bounce,10.0,522,0.26053639846743293,-80.61544190739312,-0.9859129151394442,-0.9857514519458576
development_2022_2024,value_area_bounce,15.0,522,0.2049808429118774,-122.4133422454325,-0.9984551482629028,-0.9984320028955416
development_2022_2024,value_area_bounce,20.0,522,0.15134099616858238,-164.2112425834719,-0.9998325768557295,-0.9998294749536866
holdout_2025_plus,all,0.0,363,0.4931129476584022,21.112585384003495,1.092988455631417,-0.10876380291313392
holdout_2025_plus,all,1.0,363,0.48760330578512395,11.95754895501224,0.5017007537921592,-0.1345428508328046
holdout_2025_plus,all,2.0,363,0.47107438016528924,2.8025125260209838,0.07705554645175638,-0.24144529117163316
holdout_2025_plus,all,2.5,363,0.465564738292011,-1.7750056884746486,-0.08797945794774009,-0.336113381124031
holdout_2025_plus,all,3.0,363,0.46005509641873277,-6.352523902970279,-0.2277987283805336,-0.41901429721267536
holdout_2025_plus,all,5.0,363,0.418732782369146,-24.6625967609528,-0.6035150248984724,-0.6595167085793159
holdout_2025_plus,all,10.0,363,0.325068870523416,-70.43777890590908,-0.9255959121556427,-0.9298313529481419
holdout_2025_plus,all,15.0,363,0.24793388429752067,-116.21296105086539,-0.986170007120929,-0.9863204436793591
holdout_2025_plus,all,20.0,363,0.18457300275482094,-161.98814319582166,-0.9974540733885023,-0.9974179240291818
holdout_2025_plus,opening_range_breakout,0.0,116,0.49137931034482757,26.669970655838803,0.35084794358435656,-0.055022749996146536
holdout_2025_plus,opening_range_breakout,1.0,116,0.49137931034482757,19.22643245770179,0.2392451423393105,-0.06309127713169571
holdout_2025_plus,opening_range_breakout,2.0,116,0.49137931034482757,11.782894259564788,0.1367762473761085,-0.07377852948460129
holdout_2025_plus,opening_range_breakout,2.5,116,0.47413793103448276,8.061125160496287,0.08873323212175332,-0.09304333620410776
holdout_2025_plus,opening_range_breakout,3.0,116,0.46551724137931033,4.339356061427781,0.04270077020949592,-0.11396574278826666
holdout_2025_plus,opening_range_breakout,5.0,116,0.4482758620689655,-10.547720334846225,-0.12293931186846674,-0.2055961574719256
holdout_2025_plus,opening_range_breakout,10.0,116,0.35344827586206895,-47.765411325531254,-0.43164306626695237,-0.45182580903943836
holdout_2025_plus,opening_range_breakout,15.0,116,0.29310344827586204,-84.9831023162163,-0.6324026451092417,-0.6372841829117255
holdout_2025_plus,opening_range_breakout,20.0,116,0.25862068965517243,-122.20079330690132,-0.7627126991617159,-0.7626342977393487
holdout_2025_plus,value_area_bounce,0.0,247,0.4939271255060729,18.502639264437118,0.5493886381303972,-0.1170163699562754
holdout_2025_plus,value_area_bounce,1.0,247,0.48582995951417,8.543822289781515,0.21178667762006587,-0.16803723071234022
holdout_2025_plus,value_area_bounce,2.0,247,0.46153846153846156,-1.4149946848740826,-0.05253514142488147,-0.2487993902145591
holdout_2025_plus,value_area_bounce,2.5,247,0.46153846153846156,-6.394403172201885,-0.1623103666314213,-0.3011090200273132
holdout_2025_plus,value_area_bounce,3.0,247,0.4574898785425101,-11.373811659529691,-0.2594219802251426,-0.3671488410719621
holdout_2025_plus,value_area_bounce,5.0,247,0.4048582995951417,-31.291445608840895,-0.547938950557471,-0.5799862343801057
holdout_2025_plus,value_area_bounce,10.0,247,0.3117408906882591,-81.0855304821189,-0.8690891525583039,-0.875195758547976
holdout_2025_plus,value_area_bounce,15.0,247,0.22672064777327935,-130.87961535539694,-0.962377332983854,-0.9631938039851726
holdout_2025_plus,value_area_bounce,20.0,247,0.14979757085020243,-180.673700228675,-0.9892707001069866,-0.989228134374873
