exit_variant,sizing_variant,trades_blocked_by_daily_halt_all_history,scope,trades,sessions,win_rate,average_net_r,profit_factor,cumulative_net_return,annualized_net_return,maximum_drawdown,average_effective_leverage,average_risk_fraction
atr_trailing_baseline,risk_025pct_cap3x,0,all,613,487,0.5807504078303426,-0.20521238856385446,0.5764628655076142,-0.2646834803366258,-0.07241029196624016,-0.2653537685734345,0.6903500067972382,0.0024941755508711637
atr_trailing_baseline,risk_025pct_cap3x,0,development_2022_2024,449,361,0.579064587973274,-0.20320345900621786,0.5858630141485347,-0.20068639269001187,-0.07341585522396432,-0.20283457603599797,0.6685138763974078,0.0024948624327778353
atr_trailing_baseline,risk_025pct_cap3x,0,holdout_2025_plus,164,126,0.5853658536585366,-0.21071244570640835,0.5490001347172032,-0.0800650546435584,-0.07048824906096418,-0.08128339897739423,0.7501330711236035,0.002492295002236434
atr_trailing_baseline,risk_025pct_cap3x_daily_halt_proxy,6,all,607,487,0.5799011532125206,-0.20580977549079196,0.5761341878522342,-0.263077303603385,-0.07191534746345274,-0.2637490559734502,0.6919952003415825,0.0024941179780626414
atr_trailing_baseline,risk_025pct_cap3x_daily_halt_proxy,6,development_2022_2024,444,361,0.5765765765765766,-0.20605224152573498,0.5824640657140834,-0.2011783903700628,-0.07361003741565697,-0.20332525145503288,0.6695136487567566,0.0024948045772911
atr_trailing_baseline,risk_025pct_cap3x_daily_halt_proxy,6,holdout_2025_plus,163,126,0.588957055214724,-0.20514931586186758,0.5574572978949901,-0.07748778010900037,-0.06820771167989836,-0.07870953773618028,0.7532332917750961,0.002492247732311504
cost_aware_profit_lock,risk_025pct_cap3x,0,all,617,487,0.6726094003241491,-0.19743297271006344,0.5773682238213133,-0.25771991020089413,-0.07027033368175895,-0.25960248428788557,0.6784597857275574,0.002496264335945723
cost_aware_profit_lock,risk_025pct_cap3x,0,development_2022_2024,455,361,0.6681318681318681,-0.20623172632655426,0.5662739336010851,-0.2044588725477744,-0.07490680264717398,-0.20788708787598453,0.6581747324284062,0.002495805573252934
cost_aware_profit_lock,risk_025pct_cap3x,0,holdout_2025_plus,162,126,0.6851851851851852,-0.17272042397238863,0.6102981048609477,-0.06694944587427165,-0.05889091792888601,-0.06774498286143882,0.7354332378949265,0.002497552836101397
cost_aware_profit_lock,risk_025pct_cap3x_daily_halt_proxy,6,all,611,487,0.6710310965630114,-0.19981646410813844,0.5746471505539998,-0.25821921968246964,-0.07042326932176124,-0.2601005274185184,0.6799774471923673,0.0024962276518469906
cost_aware_profit_lock,risk_025pct_cap3x_daily_halt_proxy,6,development_2022_2024,450,361,0.6666666666666666,-0.20907617249381485,0.5626791928632203,-0.20494854817134955,-0.07510067238430973,-0.20837465334658256,0.6590462951121968,0.0024957589685112996
cost_aware_profit_lock,risk_025pct_cap3x_daily_halt_proxy,6,holdout_2025_plus,161,126,0.6832298136645962,-0.1739352916015895,0.6099745653832734,-0.06700279760334316,-0.058938052439142186,-0.06779828910179209,0.7384806672922223,0.002497537636325629
