asset,attribute_group,period,trades,win_rate,profit_factor,compounded_return,average_net_bps,net_contribution_bps,trend_lock_rate,fast_whipsaw_rate,slow_stop_failure_rate,average_holding_bars
btc,side=long,all,340,0.6470588235294118,0.6230899731155155,-0.21634975818815871,-7.086259519639704,-2409.3282366774993,0.6470588235294118,0.06764705882352941,0.2852941176470588,8.714705882352941
btc,side=short,all,277,0.703971119133574,0.8446903595080796,-0.08161155029856715,-2.9495519526436595,-817.0258908822937,0.703971119133574,0.036101083032490974,0.259927797833935,7.805054151624549
btc,delta=aligned,all,552,0.6666666666666666,0.702486406889345,-0.27409701314116663,-5.700085136550245,-3146.4469953757357,0.6666666666666666,0.05253623188405797,0.2807971014492754,8.221014492753623
btc,delta=not_aligned,all,65,0.7230769230769231,0.9258149925540511,-0.008551633324953234,-1.2293404951393365,-79.90713218405688,0.7230769230769231,0.06153846153846154,0.2153846153846154,9.03076923076923
btc,session=first_90m,all,147,0.6462585034013606,0.7055754639546891,-0.07067544951214189,-4.918339427144025,-722.9958957901715,0.6462585034013606,0.04081632653061224,0.3129251700680272,8.945578231292517
btc,session=after_90m,all,470,0.6808510638297872,0.7278165140589365,-0.22557159357522738,-5.326294110148131,-2503.358231769622,0.6808510638297872,0.0574468085106383,0.26170212765957446,8.106382978723405
btc,impulse=high,all,315,0.7206349206349206,0.8316458353357505,-0.08999544607941012,-2.88804534248164,-909.7342828817165,0.7206349206349206,0.03492063492063492,0.24444444444444444,8.898412698412699
btc,impulse=low,all,302,0.6225165562913907,0.629296281282057,-0.2091299679929587,-7.6709266380068755,-2316.6198446780763,0.6225165562913907,0.0728476821192053,0.304635761589404,7.688741721854305
btc,ivb_room=high,all,308,0.6168831168831169,0.542061566822991,-0.2478874107802389,-9.15704306730764,-2820.369264730753,0.6168831168831169,0.07467532467532467,0.30844155844155846,8.21103896103896
btc,ivb_room=low,all,309,0.7281553398058253,0.9261053414918661,-0.04310160340177249,-1.3138668699968945,-405.98486282904037,0.7281553398058253,0.032362459546925564,0.23948220064724918,8.401294498381876
btc,effort=high,all,330,0.706060606060606,0.8325159013371146,-0.10377121227110231,-3.1974712264210123,-1055.165504718934,0.706060606060606,0.045454545454545456,0.24848484848484848,7.836363636363636
btc,effort=low,all,287,0.6341463414634146,0.5943863291932371,-0.19697365166155445,-7.565117152755609,-2171.18862284086,0.6341463414634146,0.0627177700348432,0.30313588850174217,8.846689895470384
btc,orb_width=wide,all,297,0.5959595959595959,0.5230646932362022,-0.2594279064876176,-10.014908611060306,-2974.4278574849113,0.5959595959595959,0.08417508417508418,0.31986531986531985,8.023569023569024
btc,orb_width=compact,all,320,0.74375,0.9534882339796013,-0.028190047950144126,-0.7872695939840053,-251.92627007488173,0.74375,0.025,0.23125,8.56875
btc,side=long,development,256,0.640625,0.609630452977869,-0.17749908078525778,-7.547586566018056,-1932.1821609006224,0.640625,0.078125,0.28125,8.47265625
btc,side=short,development,199,0.7035175879396985,0.9046680083941075,-0.037825426779980464,-1.8041712022236902,-359.03006924251434,0.7035175879396985,0.03015075376884422,0.2663316582914573,8.376884422110553
btc,delta=aligned,development,406,0.6576354679802956,0.6978688638091458,-0.2183225944057513,-5.95827113300657,-2419.0580800006674,0.6576354679802956,0.05665024630541872,0.2857142857142857,8.27832512315271
btc,delta=not_aligned,development,49,0.7551020408163265,1.1802991011008348,0.012424646349967983,2.609098976684287,127.84584985753007,0.7551020408163265,0.061224489795918366,0.1836734693877551,9.693877551020408
btc,session=first_90m,development,118,0.6271186440677966,0.6673407895441373,-0.06676056071590208,-5.788793882991082,-683.0776781929476,0.6271186440677966,0.03389830508474576,0.3389830508474576,9.398305084745763
btc,session=after_90m,development,337,0.6824925816023739,0.7586231683460373,-0.1519974000181502,-4.771912617062878,-1608.1345519501897,0.6824925816023739,0.06528189910979229,0.2522255192878338,8.091988130563799
btc,impulse=high,development,228,0.7192982456140351,0.8212323863074681,-0.07227676704291464,-3.1765320342012915,-724.2493037978945,0.7192982456140351,0.03070175438596491,0.25,9.25438596491228
btc,impulse=low,development,227,0.6167400881057269,0.6640576703357598,-0.1469552094798865,-6.902920380375519,-1566.9629263452427,0.6167400881057269,0.08370044052863436,0.29955947136563876,7.60352422907489
btc,ivb_room=high,development,228,0.5964912280701754,0.5007668224561151,-0.22379774214509918,-11.00660305987305,-2509.5054976510555,0.5964912280701754,0.08333333333333333,0.3201754385964912,8.052631578947368
btc,ivb_room=low,development,227,0.7400881057268722,1.0591740124960347,0.01956605112898102,0.9616443502551466,218.29326750791827,0.7400881057268722,0.030837004405286344,0.2290748898678414,8.810572687224669
btc,effort=high,development,228,0.706140350877193,0.8764601650246286,-0.05660662293257168,-2.4202698817112225,-551.8215330301588,0.706140350877193,0.039473684210526314,0.2543859649122807,7.956140350877193
btc,effort=low,development,227,0.6299559471365639,0.5906329739022589,-0.1611246271639306,-7.662514084198143,-1739.3906971129786,0.6299559471365639,0.07488986784140969,0.29515418502202645,8.907488986784141
btc,orb_width=wide,development,228,0.5877192982456141,0.5041568423317058,-0.22542409327059754,-11.096369625421183,-2529.9722745960294,0.5877192982456141,0.09210526315789473,0.3201754385964912,7.618421052631579
btc,orb_width=compact,development,227,0.748898678414097,1.0660769811750546,0.021706799866924253,1.0518063632285999,238.76004445289217,0.748898678414097,0.022026431718061675,0.2290748898678414,9.246696035242291
btc,side=long,holdout,84,0.6666666666666666,0.6692671791833222,-0.047234813354364746,-5.6803104259151995,-477.1460757768767,0.6666666666666666,0.03571428571428571,0.2976190476190476,9.452380952380953
btc,side=short,holdout,78,0.7051282051282052,0.6935505128637774,-0.04550746271755213,-5.871741303074089,-457.9958216397789,0.7051282051282052,0.05128205128205128,0.24358974358974358,6.346153846153846
btc,delta=aligned,holdout,146,0.6917808219178082,0.7168767334475863,-0.07135222066833902,-4.982115858733348,-727.3889153750689,0.6917808219178082,0.0410958904109589,0.2671232876712329,8.061643835616438
btc,delta=not_aligned,holdout,16,0.625,0.43554082423141216,-0.020718855225962063,-12.984561377599183,-207.75298204158693,0.625,0.0625,0.3125,7.0
btc,session=first_90m,holdout,29,0.7241379310344828,0.9007597190128669,-0.004194945725014776,-1.3764902619732404,-39.91821759722397,0.7241379310344828,0.06896551724137931,0.20689655172413793,7.103448275862069
btc,session=after_90m,holdout,133,0.6766917293233082,0.6468515617509876,-0.08676175469114378,-6.731005111424298,-895.2236798194316,0.6766917293233082,0.03759398496240601,0.2857142857142857,8.142857142857142
btc,impulse=high,holdout,87,0.7241379310344828,0.8628422945588556,-0.019099100256461554,-2.1320112538370326,-185.48497908382186,0.7241379310344828,0.04597701149425287,0.22988505747126436,7.9655172413793105
btc,impulse=low,holdout,75,0.64,0.5269910266690644,-0.0728856904162829,-9.995425577771115,-749.6569183328337,0.64,0.04,0.32,7.946666666666666
btc,ivb_room=high,holdout,80,0.675,0.7254142787918569,-0.031035298327672267,-3.885797088496211,-310.8637670796969,0.675,0.05,0.275,8.6625
btc,ivb_room=low,holdout,82,0.6951219512195121,0.6541581833462251,-0.06146502667616327,-7.613147930938522,-624.2781303369588,0.6951219512195121,0.036585365853658534,0.2682926829268293,7.2682926829268295
btc,effort=high,holdout,102,0.7058823529411765,0.7254503162408938,-0.049994615698005895,-4.934744820478185,-503.34397168877484,0.7058823529411765,0.058823529411764705,0.23529411764705882,7.568627450980392
btc,effort=low,holdout,60,0.65,0.6088335723915711,-0.04273462502114633,-7.19663209546468,-431.79792572788085,0.65,0.016666666666666666,0.3333333333333333,8.616666666666667
btc,orb_width=wide,holdout,69,0.6231884057971014,0.6081259420811828,-0.04389991080486699,-6.441385259259159,-444.455582888882,0.6231884057971014,0.057971014492753624,0.3188405797101449,9.36231884057971
btc,orb_width=compact,holdout,93,0.7311827956989247,0.7278556372769693,-0.04883675808320709,-5.27619693040617,-490.68631452777385,0.7311827956989247,0.03225806451612903,0.23655913978494625,6.913978494623656
nasdaq,side=long,all,1002,0.5658682634730539,0.9009726869232101,-0.0606562592260923,-0.6121081703897118,-613.3323867304912,0.5658682634730539,0.0968063872255489,0.3373253493013972,9.959081836327345
nasdaq,side=short,all,767,0.5801825293350718,0.9767579172211033,-0.014133162933786636,-0.17080941389659465,-131.0108204586881,0.5801825293350718,0.07953063885267275,0.34028683181225555,10.36245110821382
nasdaq,setup=orb,all,1656,0.5742753623188406,0.9393021354620387,-0.06830298453554251,-0.4132562199547253,-684.3523002450252,0.5742753623188406,0.07729468599033816,0.34842995169082125,10.518719806763285
nasdaq,setup=value_area,all,113,0.5398230088495575,0.8920302486759858,-0.006041849159440504,-0.5308929818066728,-59.99090694415402,0.5398230088495575,0.26548672566371684,0.19469026548672566,4.495575221238938
nasdaq,vwap=aligned,all,1735,0.5723342939481268,0.9372569841728264,-0.07255510585621072,-0.42061888265704617,-729.7737614099751,0.5723342939481268,0.08876080691642652,0.3389048991354467,10.17463976945245
nasdaq,vwap=not_aligned,all,34,0.5588235294117647,0.9268624361394825,-0.0014847798696918657,-0.42851311115305896,-14.569445779204004,0.5588235294117647,0.11764705882352941,0.3235294117647059,8.058823529411764
nasdaq,session=first_120m,all,900,0.5855555555555556,0.9614859279137461,-0.027327032077562596,-0.29169722633358125,-262.5275037002231,0.5855555555555556,0.09,0.3244444444444444,10.362222222222222
