layer,feature,importance
macro,"dalio_quadrant_Stagflation (growth down, inflation up)",0.12996893180768557
macro,growth_signal,0.08281890908234595
macro,"dalio_quadrant_Deflation (growth down, inflation down)",0.0797168877882744
macro,cape,0.06282797002120045
macro,dalio_quadrant_Indeterminate,0.044827068172964585
macro,nfci_z,0.04363858267806098
macro,"dalio_quadrant_Reflation (growth up, inflation up)",0.03376805722271982
macro,wti_ret_6m,0.028561261406101702
macro,nfci,0.026190753843163692
macro,market_health,0.02120094193937184
macro,"dalio_quadrant_Goldilocks (growth up, inflation down)",0.021088213776395973
macro,wti,0.0203207029262868
macro,yield_curve_10y2y_z,0.017861486118905087
macro,yield_curve_10y2y,0.017103269164737447
macro,sector_breadth,0.016927053639382173
macro,copper_gold_ratio_z,0.0168136945000459
macro,cape_z,0.01653076471402648
macro,inflation_signal,0.01636553323134931
macro,dxy,0.015572103458703716
macro,cot_asset_mgr_net_pct_oi,0.012984944845553292
macro,permits_yoy_z,0.0127139657013669
macro,indpro_yoy,0.012648332812010188
macro,copper_gold_ratio,0.012488873193311378
macro,hy_spread_z,0.012401933341851986
macro,core_cpi_yoy_z,0.011907075874183376
macro,infl_exp_1y,0.010737985134017901
macro,gold_z,0.01070148599227084
macro,hy_spread,0.009882346209679042
macro,core_cpi_yoy,0.009569059583992547
macro,vix,0.009493680503315347
macro,indpro_yoy_z,0.009306407242077088
macro,fed_path_2y,0.009034657607101362
macro,claims_yoy_z,0.008171416533118097
macro,cot_open_interest_yoy,0.008126285618420867
macro,permits_yoy,0.008093425452401373
macro,copper_z,0.00782852293502085
macro,wti_z,0.007444945556116157
macro,copper_ret_6m,0.007372539515258941
macro,infl_5y5y_fwd_z,0.0073347621806198774
macro,copper,0.00706484245177263
macro,dxy_z,0.006254593248831053
macro,breakeven_10y_z,0.005998577525506006
macro,cot_dealer_net_pct_oi,0.005648671332612299
macro,breakeven_10y,0.005345406129436533
macro,infl_exp_1y_z,0.005254211166057477
macro,gold,0.005157794929840156
macro,dxy_ret_6m,0.004932867367741021
macro,vix_z,0.00492128990156244
macro,cot_dealer_net_pct_oi_z,0.004814626916041061
macro,gold_ret_6m,0.004736630446828193
macro,fed_path_2y_z,0.004247975616154383
macro,claims_yoy,0.0038946693836961256
macro,cot_dealer_net_pct_oi_change_13w,0.003328473684889325
macro,infl_5y5y_fwd,0.0030777271970418413
macro,cot_lev_funds_net_pct_oi,0.0026200939817669047
macro,vix_curve_spread,0.002183015620585204
macro,cot_asset_mgr_net_pct_oi_change_13w,0.0020605386288291678
macro,cot_asset_mgr_net_pct_oi_z,0.0018578785491950999
macro,vix3m,0.0016626440176312762
macro,cot_lev_funds_net_pct_oi_z,0.0015706531746615428
macro,vix_curve_ratio,0.0013134284550667505
macro,cot_crowding_abs_z,0.0009061830879772949
macro,cot_lev_funds_net_pct_oi_change_13w,0.0008023758628669213
