layer,feature,importance
sector,relative_volatility_12m,0.052936812217744905
sector,beta_36m,0.0484769287878717
sector,cap_weighted_quarterly_eps_yoy_pct_lag1,0.04415990766020691
sector,sector_Technology,0.04178189601260531
sector,corr_36m,0.03545042952700149
sector,cap_weighted_quarterly_eps_yoy_pct_lag1_change,0.030004114306080097
sector,dxy,0.02921417646742304
sector,sector_Energy,0.026209675123444895
sector,wti,0.02521667955072876
sector,move_since_last_cross,0.02062163948898094
sector,drawdown_36m,0.01989270099034035
sector,"dalio_quadrant_Stagflation (growth down, inflation up)",0.018063016763355602
sector,sector_Real Estate,0.017659340282651172
sector,inflation_signal,0.016818200717214325
sector,cape,0.01625372901847429
sector,copper_gold_ratio,0.015802987793961207
sector,copper,0.015796248618422604
sector,relative_return_12m,0.015345239065656912
sector,volatility_12m,0.01496588888162849
sector,gold,0.014956051701569448
sector,sector_breadth,0.014923680061966016
sector,beat_rate_lag1,0.013892016044834667
sector,sector_Financials,0.013218737153527902
sector,t10y3m_z,0.012704894852491056
sector,copper_gold_ratio_z,0.011511637689059554
sector,wti_z,0.011213849734415094
sector,infl_exp_1y_z,0.01118208221538134
sector,vix3m,0.011126163425806846
sector,beat_rate_lag1_change,0.011015032034568486
sector,cape_z,0.01058252759081561
sector,dxy_z,0.010491710936413845
sector,sector_Communication Svcs,0.010390495175466734
sector,infl_5y5y_fwd,0.010226787458330744
sector,sector_oscillator,0.010074406211417593
sector,indpro_yoy,0.009870198032520528
sector,copper_z,0.009687126313052222
sector,yield_curve_10y2y_z,0.009556151100288679
sector,gold_z,0.009007648947592673
sector,breakeven_10y,0.008743418831689422
sector,nfci,0.00829972755001988
sector,drawdown_12m,0.007801941327048197
sector,relative_return_6m,0.007801685380600995
sector,hy_spread,0.007550307191009675
sector,t10y3m,0.007422374262712074
sector,core_cpi_yoy_z,0.00737144965310779
sector,sector_return_12m,0.007337107085887969
sector,relative_oscillator,0.007279252476161198
sector,last_cross_type_none,0.007183321427370839
sector,dxy_ret_6m,0.0067482474103249136
sector,nfci_z,0.006220055428495625
sector,claims_yoy,0.006166577032172932
sector,market_health,0.006087868080705179
sector,claims_yoy_z,0.0060876196629220695
sector,yield_curve_10y2y,0.006012193429673323
sector,cap_weighted_surprise_pct_lag1,0.005969010864775541
sector,months_since_cross,0.0059260524692851995
sector,fast_slow_gap,0.005908710934178155
sector,vix,0.005761844292202772
sector,core_cpi_yoy,0.00568190328441688
sector,infl_exp_1y,0.005558907462493983
sector,"dalio_quadrant_Goldilocks (growth up, inflation down)",0.005528618918671252
sector,last_cross_type_golden,0.005387688139719458
sector,vix_z,0.005344461284218243
sector,young_cross_risk,0.005036133823299968
sector,relative_return_3m,0.004949937944815521
sector,indpro_yoy_z,0.004653005140878908
sector,permits_yoy,0.004647563580065437
sector,sector_Utilities,0.004573901014284663
sector,above_slow_ma,0.004269213542555494
sector,sector_Materials,0.0042489524199031126
sector,fed_path_2y,0.004173924278149846
sector,sector_return_6m,0.004141717816395376
sector,cot_lev_funds_net_pct_oi,0.0041374290398100404
sector,hy_spread_z,0.00403705322616748
sector,"dalio_quadrant_Reflation (growth up, inflation up)",0.003903135041240083
sector,last_cross_type_death,0.003739532922045359
sector,wti_ret_6m,0.0035898295320368257
sector,gold_ret_6m,0.0034345957213000444
sector,growth_signal,0.0033530880463160015
sector,breakeven_10y_z,0.0031309835609351446
sector,fed_path_2y_z,0.002904951319804684
sector,permits_yoy_z,0.002822675575562478
sector,infl_5y5y_fwd_z,0.0026927225051173913
sector,"dalio_quadrant_Deflation (growth down, inflation down)",0.002671365461272712
sector,cot_dealer_net_pct_oi_z,0.00265472490661056
sector,copper_ret_6m,0.002127413400226602
sector,cot_asset_mgr_net_pct_oi,0.0021115070760664018
sector,cot_dealer_net_pct_oi_change_13w,0.002103320413431647
sector,dalio_quadrant_Indeterminate,0.0020822794816896003
sector,sector_Consumer Defensive,0.002048182541201349
sector,slow_ma_gap,0.0018651910283058782
sector,cot_asset_mgr_net_pct_oi_z,0.0016752648921713686
sector,cap_weighted_surprise_pct_lag1_change,0.0016728632160777125
sector,relative_return_1m,0.0016415603130869112
sector,cot_dealer_net_pct_oi,0.0014800564865115851
sector,cot_lev_funds_net_pct_oi_z,0.0014610611740529112
sector,cot_open_interest_yoy,0.0013762762750730985
sector,sector_Health Care,0.0013675906325788319
sector,sector_return_3m,0.0013548288891787098
sector,sector_Industrials,0.0013250483162409131
sector,sector_Consumer Cyclical,0.0012703560131962245
sector,cot_asset_mgr_net_pct_oi_change_13w,0.0012600547722007845
sector,vix_curve_ratio,0.0006408535570715838
sector,vix_curve_spread,0.0006024868510611229
sector,sector_return_1m,0.0004669757427237981
sector,cot_lev_funds_net_pct_oi_change_13w,0.00043858962866048144
sector,cot_crowding_abs_z,0.00038065104744974945
