metric,avg_surprise_pct_cap_weighted,latest_quarter_surprise_pct_cap_weighted,latest_quarter_eps_yoy_pct_cap_weighted,latest_annual_eps_yoy_pct_cap_weighted,quarterly_earnings_growth_yoy_cap_weighted,quarterly_revenue_growth_yoy_cap_weighted,beat_rate_avg,profit_margin_cap_weighted,return_on_equity_ttm_cap_weighted,pe_ratio_cap_weighted,forward_pe_cap_weighted,beta_cap_weighted
avg_surprise_pct_cap_weighted,1.0,0.6615472859282455,0.15265380012955432,0.18008429810264479,0.2658006140075532,0.190864026831362,-0.3009467802531911,0.44859834494700973,0.33436032441432667,0.3184932263724776,0.07386999465471109,0.12547794319993505
latest_quarter_surprise_pct_cap_weighted,0.6615472859282455,1.0,0.29247509230501006,0.11069164092520774,0.5843780672160217,0.4579981678808308,-0.6329669060819053,0.37585578499939853,0.030777773931099275,0.26252883219361794,-0.16567821025347956,-0.6456672646931492
latest_quarter_eps_yoy_pct_cap_weighted,0.15265380012955432,0.29247509230501006,1.0,0.873450919124311,0.17570567725944344,0.8521192182703625,-0.17481336535786374,-0.019552304999052243,-0.18345186382105808,-0.24664128781705155,-0.5168144001474481,-0.20375401406904742
latest_annual_eps_yoy_pct_cap_weighted,0.18008429810264479,0.11069164092520774,0.873450919124311,1.0,-0.0700475333026876,0.699028995517186,0.09319347943169876,-0.11897861963262384,-0.19677066740994115,-0.19661817042430224,-0.3551148187503789,0.0575395351128299
quarterly_earnings_growth_yoy_cap_weighted,0.2658006140075532,0.5843780672160217,0.17570567725944344,-0.0700475333026876,1.0,0.3125513080055258,-0.5490352136564405,0.6170212304116325,-0.03434508493071926,0.3884196321594327,-0.16539587132447708,-0.4163870081805619
quarterly_revenue_growth_yoy_cap_weighted,0.190864026831362,0.4579981678808308,0.8521192182703625,0.699028995517186,0.3125513080055258,1.0,-0.36203631066063013,0.22767514848093523,0.07358852328998161,-0.029565900565407963,-0.4179794748453062,-0.38344080209530196
beat_rate_avg,-0.3009467802531911,-0.6329669060819053,-0.17481336535786374,0.09319347943169876,-0.5490352136564405,-0.36203631066063013,1.0,-0.544893358165025,-0.07888470471026113,-0.36375484275738784,0.5352695593358517,0.19520196091810416
profit_margin_cap_weighted,0.44859834494700973,0.37585578499939853,-0.019552304999052243,-0.11897861963262384,0.6170212304116325,0.22767514848093523,-0.544893358165025,1.0,0.6261347685638788,0.4592902940556293,0.06987223380586592,0.0701017786809716
return_on_equity_ttm_cap_weighted,0.33436032441432667,0.030777773931099275,-0.18345186382105808,-0.19677066740994115,-0.03434508493071926,0.07358852328998161,-0.07888470471026113,0.6261347685638788,1.0,0.15876806027527537,0.20701478073298285,0.3055199104311177
pe_ratio_cap_weighted,0.3184932263724776,0.26252883219361794,-0.24664128781705155,-0.19661817042430224,0.3884196321594327,-0.029565900565407963,-0.36375484275738784,0.4592902940556293,0.15876806027527537,1.0,0.9049503692890631,0.0895991044430752
forward_pe_cap_weighted,0.07386999465471109,-0.16567821025347956,-0.5168144001474481,-0.3551148187503789,-0.16539587132447708,-0.4179794748453062,0.5352695593358517,0.06987223380586592,0.20701478073298285,0.9049503692890631,1.0,0.22862927772134875
beta_cap_weighted,0.12547794319993505,-0.6456672646931492,-0.20375401406904742,0.0575395351128299,-0.4163870081805619,-0.38344080209530196,0.19520196091810416,0.0701017786809716,0.3055199104311177,0.0895991044430752,0.22862927772134875,1.0
