symbol,name,sector,industry,asset_type,exchange,currency,country,fiscal_year_end,latest_quarter,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps_ttm,diluted_eps_ttm,revenue_ttm,profit_margin,operating_margin_ttm,return_on_assets_ttm,return_on_equity_ttm,revenue_per_share_ttm,quarterly_earnings_growth_yoy,quarterly_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio_ttm,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_52_high,week_52_low,day_50_moving_average,day_200_moving_average,shares_outstanding,latest_annual_fiscal_date,latest_annual_eps,latest_annual_eps_yoy_pct,previous_annual_eps,annual_eps_observations,quarterly_earnings_observations,latest_quarter_fiscal_date,latest_quarter_reported_date,latest_quarter_reported_eps,latest_quarter_estimated_eps,latest_quarter_surprise,latest_quarter_surprise_pct,latest_quarter_eps_yoy_pct,avg_surprise_pct,median_surprise_pct,surprise_pct_volatility,beat_rate
AA,Alcoa Corp,BASIC MATERIALS,ALUMINUM,Common Stock,NYSE,USD,USA,December,2025-06-30,9067193000.0,2268000000.0,8.26,-0.29,23.7,0.4,0.0108,4.24,4.24,12777000000.0,0.0786,0.0441,0.0704,0.172,50.7,4.636,0.039,37.88,8.26,13.59,0.71,1.47,0.795,4.683,2.197,47.29,21.38,31.99,31.38,258915000.0,2025-09-30,2.54,164.58333333333334,,28.0,107.0,2025-06-30,2025-07-16,0.39,0.39,0.0,0.0,143.75,7.572963888888889,11.94445,69.52702728266655,0.22429906542056074
AAUC,Allied Gold Corporation,BASIC MATERIALS,GOLD,Common Stock,NYSE,USD,USA,December,2025-03-31,1608984000.0,256931000.0,,,3.099,,,-1.11,-1.11,901722000.0,-0.105,0.279,0.109,-0.199,9.37,0.0,0.979,,,8.52,1.784,4.591,1.602,13.89,,19.0,6.37,13.57,9.97,115379000.0,2025-09-30,-0.0969,92.80196107562027,,3.0,7.0,2025-06-30,2025-08-06,-0.2231,0.31,-0.5331,-171.9677,-328.11860940695294,-171.9677,-171.9677,,0.0
ACNT,Synalloy Corporation,BASIC MATERIALS,STEEL,Common Stock,NASDAQ,USD,USA,December,2025-06-30,111948000.0,5723000.0,,,9.51,,,-1.07,-1.07,172594000.0,-0.0185,-0.0846,-0.007,-0.113,17.25,88.94,-0.131,18.0,,,0.649,1.317,0.462,18.43,0.669,13.7,9.0,12.45,12.28,9368000.0,2025-09-30,-0.4776,64.39806187103989,,26.0,114.0,2025-06-30,2025-08-06,-0.25,0.27,-0.52,-192.5926,-173.52297592997814,-120.30261063829788,-22.2222,295.0307175462127,0.10526315789473684
AEM,Agnico Eagle Mines Limited,BASIC MATERIALS,GOLD,Common Stock,NYSE,USD,USA,December,2025-06-30,82574975000.0,6105126000.0,27.96,28.15,44.88,1.6,0.0099,5.88,5.88,9663658000.0,0.306,0.586,0.0936,0.139,19.25,1.26,0.356,173.17,27.96,22.03,8.54,3.747,8.67,13.79,0.448,172.21,74.04,149.17,117.68,502342000.0,2025-09-30,3.47,-17.966903073286055,,30.0,118.0,2025-06-30,2025-07-30,1.94,1.58,0.36,22.7848,81.30841121495325,0.6823384615384622,3.0769,198.17340798504836,0.5254237288135594
AG,First Majestic Silver Corp,BASIC MATERIALS,SILVER,Common Stock,NYSE,USD,USA,December,2025-06-30,6487982000.0,291541000.0,,0.0,5.12,0.02,0.0015,-0.01,-0.01,826595000.0,0.0178,0.0944,0.0199,0.0106,2.145,2.359,0.94,13.25,,44.64,7.85,2.36,6.83,18.65,1.161,14.73,5.08,10.16,7.52,490029000.0,2025-09-30,0.09,140.9090909090909,,17.0,67.0,2025-06-30,2025-08-14,0.04,0.0375,0.0025,6.6667,123.52941176470588,-150.72273484848486,-38.75,503.5271446913385,0.2537313432835821
AGI,Alamos Gold Inc,BASIC MATERIALS,GOLD,Common Stock,NYSE,USD,USA,December,2025-06-30,13895181000.0,775500000.0,40.3,-2.5,8.93,0.1,0.0031,0.82,0.82,1507900000.0,0.23,0.488,0.0724,0.102,3.594,1.23,0.318,42.5,40.3,18.02,9.21,3.855,9.54,17.39,0.53,35.61,17.36,30.56,26.11,420429000.0,2025-09-30,0.48,-40.74074074074075,,23.0,89.0,2025-06-30,2025-07-30,0.34,0.321,0.019,5.919,41.66666666666668,-25.359089772727273,0.0,99.23172531504811,0.34831460674157305
ALB,Albemarle Corp,BASIC MATERIALS,SPECIALTY CHEMICALS,Common Stock,NYSE,USD,USA,December,2025-06-30,10574988000.0,473204000.0,,4.548,68.03,1.62,0.0168,-9.33,-9.33,4993278000.0,-0.186,0.0415,-0.0064,-0.0811,42.46,-0.662,-0.07,88.47,,72.99,2.118,1.288,2.895,22.45,1.657,111.49,48.84,81.04,73.67,117683000.0,2025-09-30,-0.07,97.00854700854703,,30.0,118.0,2025-06-30,2025-07-30,0.11,-0.81,0.92,113.5802,175.00000000000003,7.7243796610169495,6.25,31.741074926066176,0.7627118644067796
ALTO,Alto Ingredients Inc,BASIC MATERIALS,SPECIALTY CHEMICALS,Common Stock,NASDAQ,USD,USA,December,2025-06-30,86685000.0,1668000.0,,,2.692,,,-0.92,-0.92,933137000.0,-0.0716,-0.035,-0.0357,-0.282,12.6,-0.662,-0.076,4.0,,6.87,0.0929,0.41,0.208,52.84,0.672,2.05,0.76,1.092,1.214,77397000.0,2025-09-30,-0.3352,31.745062105477494,,26.0,108.0,2025-06-30,2025-08-06,-0.15,-0.09,-0.06,-66.6667,-199.99999999999997,-21.412604687499993,-42.89305,821.8070765455749,0.23148148148148148
AMR,Alpha Metallurgical Resources Inc,BASIC MATERIALS,COKING COAL,Common Stock,NYSE,USD,USA,December,2025-06-30,2088873000.0,173979000.0,,,123.62,,,-2.86,-2.86,2371475000.0,-0.0157,-0.0022,-0.0072,-0.0229,181.92,-0.956,-0.316,184.5,,2.658,0.881,1.358,0.737,12.94,0.961,255.04,97.41,150.83,142.13,13053800.0,2025-09-30,-2.98,-120.97114707952146,,10.0,36.0,2025-06-30,2025-08-08,-0.38,-2.04,1.66,81.3725,-108.46325167037863,982.1852942857143,-2.5,5722.2556074717195,0.4444444444444444
AMRZ,Amrize Ltd,BASIC MATERIALS,BUILDING MATERIALS,Common Stock,NYSE,USD,USA,December,2025-03-31,27459924000.0,2945000000.0,19.48,1.588,17.2,,,2.55,2.55,11619000000.0,0.106,-0.0082,0.0,0.0,20.5,0.0,-0.039,57.94,19.48,18.18,2.363,2.199,2.89,11.45,,56.29,44.12,50.43,50.43,552736000.0,2025-09-30,0.95,,,1.0,1.0,2025-06-30,2025-08-06,0.95,1.15,-0.2,-17.3913,,-17.3913,-17.3913,,0.0
