layer,column,role,family,availability_rule,coverage_pct,dtype
company,capital_ratio_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,10.67,float64
company,earnings_stability_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,52.66,float64
company,fcf_margin_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,60.56,float64
company,gm_trend_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,5.27,float64
company,gross_margin_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,33.71,float64
company,low_leverage_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,38.11,float64
company,margin_steadiness_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,25.6,float64
company,net_cash_ratio_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,30.59,float64
company,ni_growth_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,9.12,float64
company,ni_margin_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,11.93,float64
company,ocf_growth_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,8.22,float64
company,ocf_margin_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,20.08,float64
company,ocf_stability_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,8.26,float64
company,quality_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,88.37,float64
company,rev_growth_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,56.34,float64
company,revenue_steadiness_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,8.01,float64
company,roe_z,feature,company_fundamental,SEC filed date <= signal date; trade begins next close,9.44,float64
company,company_50_200_age_months,feature,company_price_trend,known at or before signal date,100.0,float64
company,company_50_200_cross,feature,company_price_trend,known at or before signal date,11.94,object
company,company_50_200_state,feature,company_price_trend,known at or before signal date,99.45,object
company,company_beta_252d,feature,company_price_trend,known at or before signal date,94.26,float64
company,company_drawdown_12m,feature,company_price_trend,known at or before signal date,96.95,float64
company,company_oscillator,feature,company_price_trend,known at or before signal date,77.08,float64
company,company_price_sma200_gap,feature,company_price_trend,known at or before signal date,99.45,float64
company,company_relative_oscillator,feature,company_price_trend,known at or before signal date,72.16,float64
company,company_relative_return_12m,feature,company_price_trend,known at or before signal date,87.77,float64
company,company_relative_return_1m,feature,company_price_trend,known at or before signal date,94.49,float64
company,company_relative_return_3m,feature,company_price_trend,known at or before signal date,93.26,float64
company,company_relative_return_6m,feature,company_price_trend,known at or before signal date,91.42,float64
company,company_return_12m,feature,company_price_trend,known at or before signal date,92.69,float64
company,company_return_1m,feature,company_price_trend,known at or before signal date,99.41,float64
company,company_return_3m,feature,company_price_trend,known at or before signal date,98.18,float64
company,company_return_6m,feature,company_price_trend,known at or before signal date,96.34,float64
company,company_sma50_200_gap,feature,company_price_trend,known at or before signal date,99.45,float64
company,company_volatility_63d,feature,company_price_trend,known at or before signal date,99.89,float64
company,breakeven_10y,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,breakeven_10y_z,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,claims_yoy,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,claims_yoy_z,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,fed_path_2y,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,fed_path_2y_z,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,infl_5y5y_fwd,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,infl_5y5y_fwd_z,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
company,infl_exp_1y,feature,forward_macro,publication lag applied upstream; market series known by close,100.0,float64
