variant,one_way_cost_bps,period_type,period,trades_executed,net_return,win_rate
fixed_0.25_no_overlays,0.5,year,2024,45,0.01588924707021855,0.5777777777777777
fixed_0.25_no_overlays,0.5,year,2025,44,0.011746007287952276,0.5454545454545454
fixed_0.25_no_overlays,0.5,quarter,2024Q1,6,-0.0028816015315249466,0.5
fixed_0.25_no_overlays,0.5,quarter,2024Q2,16,0.01030561829388299,0.625
fixed_0.25_no_overlays,0.5,quarter,2024Q3,10,0.007940546871227028,0.7
fixed_0.25_no_overlays,0.5,quarter,2024Q4,13,0.00048815078781205834,0.46153846153846156
fixed_0.25_no_overlays,0.5,quarter,2025Q1,9,0.00013812048536232524,0.5555555555555556
fixed_0.25_no_overlays,0.5,quarter,2025Q2,21,0.008041638791174144,0.6190476190476191
fixed_0.25_no_overlays,0.5,quarter,2025Q3,12,-0.0014411334958455146,0.3333333333333333
fixed_0.25_no_overlays,0.5,quarter,2025Q4,2,0.004984524899779075,1.0
macro_only,0.5,year,2024,45,0.007929591002682423,0.5777777777777777
macro_only,0.5,year,2025,44,0.0071246330698477855,0.5454545454545454
macro_only,0.5,quarter,2024Q1,6,-0.0014398922554330618,0.5
macro_only,0.5,quarter,2024Q2,16,0.005146333410694481,0.625
macro_only,0.5,quarter,2024Q3,10,0.003965113176712887,0.7
macro_only,0.5,quarter,2024Q4,13,0.00024886874370433354,0.46153846153846156
macro_only,0.5,quarter,2025Q1,9,7.270377309187559e-05,0.5555555555555556
macro_only,0.5,quarter,2025Q2,21,0.004020813970133652,0.6190476190476191
macro_only,0.5,quarter,2025Q3,12,-0.0007172038010153647,0.3333333333333333
macro_only,0.5,quarter,2025Q4,2,0.00373835093239272,1.0
golden_daily_only,0.5,year,2024,45,0.015757507960441286,0.5777777777777777
golden_daily_only,0.5,year,2025,44,0.005824519088136082,0.5454545454545454
golden_daily_only,0.5,quarter,2024Q1,6,-0.0014398922554330618,0.5
golden_daily_only,0.5,quarter,2024Q2,16,0.009969166344597102,0.625
golden_daily_only,0.5,quarter,2024Q3,10,0.0066900224935106944,0.7
golden_daily_only,0.5,quarter,2024Q4,13,0.00048815078781205834,0.46153846153846156
golden_daily_only,0.5,quarter,2025Q1,9,0.0015118421963724593,0.5555555555555556
golden_daily_only,0.5,quarter,2025Q2,21,0.005954905821955236,0.6190476190476191
golden_daily_only,0.5,quarter,2025Q3,12,-0.004120914502152684,0.3333333333333333
golden_daily_only,0.5,quarter,2025Q4,2,0.0024922054599672006,1.0
shock_recovery_only,0.5,year,2024,45,0.0035301875092978996,0.5777777777777777
shock_recovery_only,0.5,year,2025,44,0.005892047533733846,0.5454545454545454
shock_recovery_only,0.5,quarter,2024Q1,6,-0.0028816015315249466,0.5
shock_recovery_only,0.5,quarter,2024Q2,16,0.0036231948672103,0.625
shock_recovery_only,0.5,quarter,2024Q3,10,0.004148922707677638,0.7
shock_recovery_only,0.5,quarter,2024Q4,13,-0.0013463470669653477,0.46153846153846156
shock_recovery_only,0.5,quarter,2025Q1,9,0.0014781785307940165,0.5555555555555556
shock_recovery_only,0.5,quarter,2025Q2,21,0.004605101411670809,0.6190476190476191
shock_recovery_only,0.5,quarter,2025Q3,12,-0.0014411334958455146,0.3333333333333333
shock_recovery_only,0.5,quarter,2025Q4,2,0.0012460884825029606,1.0
intraday_2m_5m_only,0.5,year,2024,45,0.015229433120284463,0.5777777777777777
intraday_2m_5m_only,0.5,year,2025,44,0.01091448242035331,0.5454545454545454
intraday_2m_5m_only,0.5,quarter,2024Q1,6,-0.0028816015315249466,0.5
intraday_2m_5m_only,0.5,quarter,2024Q2,16,0.009867245883348197,0.625
intraday_2m_5m_only,0.5,quarter,2024Q3,10,0.007940546871227028,0.7
intraday_2m_5m_only,0.5,quarter,2024Q4,13,0.00027235872842990005,0.46153846153846156
intraday_2m_5m_only,0.5,quarter,2025Q1,9,0.0005703723963366159,0.5555555555555556
intraday_2m_5m_only,0.5,quarter,2025Q2,21,0.006778036806094123,0.6190476190476191
intraday_2m_5m_only,0.5,quarter,2025Q3,12,-0.0014411334958455146,0.3333333333333333
intraday_2m_5m_only,0.5,quarter,2025Q4,2,0.004984524899779075,1.0
combined_governor,0.5,year,2024,45,0.004417650309648025,0.5777777777777777
combined_governor,0.5,year,2025,44,0.0032119112850585996,0.5454545454545454
combined_governor,0.5,quarter,2024Q1,6,-0.0014398922554330618,0.5
combined_governor,0.5,quarter,2024Q2,16,0.0038211590679764207,0.625
combined_governor,0.5,quarter,2024Q3,10,0.002703549261264815,0.7
combined_governor,0.5,quarter,2024Q4,13,-0.0006647061830216128,0.46153846153846156
combined_governor,0.5,quarter,2025Q1,9,0.0007579185494974716,0.5555555555555556
combined_governor,0.5,quarter,2025Q2,21,0.0031490719779418974,0.6190476190476191
