session_date,session_open,session_close,opening_complete,execution_complete,prior_rth_profile_complete,usable,day_regime,prior_poc,prior_val,prior_vah,opening_range_high,opening_range_low,opening_delta_proxy
2024-01-02,2024-01-02 14:30:00+00:00,2024-01-02 21:00:00+00:00,True,True,False,False,unclassified,,,,,,
2024-01-03,2024-01-03 14:30:00+00:00,2024-01-03 21:00:00+00:00,True,True,True,True,balance,16598.61625,16535.90125,16619.521249999998,16490.64,16430.13,14832.443358742152
2024-01-04,2024-01-04 14:30:00+00:00,2024-01-04 21:00:00+00:00,True,True,True,True,balance,16417.237916666665,16406.299583333333,16455.52208333333,16352.87,16296.0,3193.2037183164157
2024-01-05,2024-01-05 14:30:00+00:00,2024-01-05 21:00:00+00:00,True,True,True,True,balance,16334.7575,16322.454166666666,16371.6675,16350.44,16292.31,3047.2246515850925
2024-01-08,2024-01-08 14:30:00+00:00,2024-01-08 21:00:00+00:00,True,True,True,True,imbalance_up,16319.996875,16298.355625,16392.134375,16495.24,16367.5,9792.596092813941
2024-01-09,2024-01-09 14:30:00+00:00,2024-01-09 21:00:00+00:00,True,True,True,True,balance,16514.0675,16488.5775,16641.5175,16574.83,16521.07,11977.199158930965
2024-01-10,2024-01-10 14:30:00+00:00,2024-01-10 21:00:00+00:00,True,True,True,True,balance,16681.210625,16603.304375,16724.491875,16736.42,16676.29,-2850.5015598090768
2024-01-11,2024-01-11 14:30:00+00:00,2024-01-11 21:00:00+00:00,False,True,True,False,unclassified,,,,,,
2024-01-12,2024-01-12 14:30:00+00:00,2024-01-12 21:00:00+00:00,True,True,False,False,unclassified,,,,,,
2024-01-16,2024-01-16 14:30:00+00:00,2024-01-16 21:00:00+00:00,True,True,True,True,balance,16825.3525,16798.4275,16841.5075,16822.16,16731.29,18316.883722873183
2024-01-17,2024-01-17 14:30:00+00:00,2024-01-17 21:00:00+00:00,True,True,False,False,unclassified,,,,,,
2024-01-18,2024-01-18 14:30:00+00:00,2024-01-18 21:00:00+00:00,True,True,True,True,balance,16645.279375,16628.946875,16710.609375,16935.89,16877.25,4464.360892047927
2024-01-19,2024-01-19 14:30:00+00:00,2024-01-19 21:00:00+00:00,True,True,True,True,imbalance_up,16897.201458333333,16881.950624999998,16965.830208333333,17094.99,17048.72,846.0487887644923
2024-01-22,2024-01-22 14:30:00+00:00,2024-01-22 21:00:00+00:00,True,True,True,True,imbalance_up,17078.07104166667,17054.590208333335,17230.696458333336,17471.87,17379.25,15211.671934632897
2024-01-23,2024-01-23 14:30:00+00:00,2024-01-23 21:00:00+00:00,True,True,True,True,balance,17356.052291666667,17337.271041666667,17393.614791666667,17377.66,17300.16,403.4657214305848
2024-01-24,2024-01-24 14:30:00+00:00,2024-01-24 21:00:00+00:00,True,True,True,True,balance,17345.677499999998,17334.9675,17372.4525,17585.08,17529.45,-4879.05667988254
2024-01-25,2024-01-25 14:30:00+00:00,2024-01-25 21:00:00+00:00,True,True,True,True,balance,17602.275,17555.095,17665.181666666667,17617.48,17554.84,-23211.755144949497
2024-01-26,2024-01-26 14:30:00+00:00,2024-01-26 21:00:00+00:00,True,True,True,True,balance,17588.732291666667,17518.728958333333,17623.733958333334,17467.16,17413.52,1033.8756650180667
2024-01-29,2024-01-29 14:30:00+00:00,2024-01-29 21:00:00+00:00,True,True,True,True,balance,17434.841041666667,17408.355625,17471.920625,17488.0,17434.38,-898.4306277961982
2024-01-30,2024-01-30 14:30:00+00:00,2024-01-30 21:00:00+00:00,True,True,True,True,balance,17445.418749999997,17437.25125,17502.591249999998,17591.06,17561.43,9001.500917929754
2024-01-31,2024-01-31 14:30:00+00:00,2024-01-31 21:00:00+00:00,True,True,True,True,balance,17491.361041666667,17462.875625,17554.028958333336,17334.36,17255.36,3937.0979111085526
2024-02-01,2024-02-01 14:30:00+00:00,2024-02-01 21:00:00+00:00,True,True,True,True,balance,17249.289375,17207.087708333333,17302.041458333333,17249.61,17197.36,9792.404336120679
2024-02-02,2024-02-02 14:30:00+00:00,2024-02-02 21:00:00+00:00,True,True,True,True,imbalance_up,17235.1525,17203.6525,17306.0275,17537.66,17382.9,22557.79015217999
2024-02-05,2024-02-05 14:30:00+00:00,2024-02-05 21:00:00+00:00,True,True,True,True,balance,17670.262499999997,17542.545833333334,17683.034166666665,17656.93,17596.3,-1645.2103953462743
2024-02-06,2024-02-06 14:30:00+00:00,2024-02-06 21:00:00+00:00,True,True,True,True,balance,17621.865208333333,17566.597291666665,17653.446875,17689.56,17573.81,-15348.520438972528
2024-02-07,2024-02-07 14:30:00+00:00,2024-02-07 21:00:00+00:00,True,True,True,True,balance,17564.4975,17512.7475,17573.1225,17701.43,17644.45,-11718.097826792535
2024-02-08,2024-02-08 14:30:00+00:00,2024-02-08 21:00:00+00:00,True,True,True,True,balance,17771.08625,17732.121250000004,17784.074583333335,17777.010000000002,17732.620000000003,-8205.57466787402
2024-02-09,2024-02-09 14:30:00+00:00,2024-02-09 21:00:00+00:00,True,True,True,True,imbalance_up,17804.64,17771.4,17812.02666666667,17868.09,17802.58,7689.655376787765
