variant,trades,trend_aligned_trades,trades_with_raised_stop,trades_crossing_prior_poc,aligned_trades_crossing_prior_poc,qualified_scale_signals,chart_acceptance_observations,filled_add_ons
static_10m,83,34,0,1,1,0,0,0
static_16m,115,42,0,6,3,0,5,0
static_20m,122,44,0,8,3,0,7,0
static_30m,142,49,0,9,3,0,9,0
trend_sized_16m,115,42,0,6,3,0,5,0
trend_3d_10d_sized_10m,83,38,0,1,0,0,0,0
trend_3d_10d_sized_16m,115,48,0,6,2,0,5,0
aligned_poc_immediate_10m,13,13,0,0,0,0,1,0
aligned_poc_acceptance_16m,8,8,0,0,0,0,1,0
aligned_poc_acceptance_reserved_16m,8,8,3,0,0,0,1,0
aligned_poc_acceptance_chart_scale_16m,8,8,3,0,0,1,1,1
reserved_3d_10d_trail_16m,115,48,24,6,2,0,5,0
reserved_chart_scale_16m,115,48,24,6,2,2,5,2
reserved_3d_10d_trail_30m,142,54,40,9,2,0,9,0
reserved_chart_scale_30m,142,54,40,9,2,3,9,3
trend_trail_16m,115,42,24,6,3,0,5,0
trend_trail_poc_scale_16m,115,42,24,6,3,1,5,0
trend_trail_poc_scale_30m,142,49,40,9,3,1,9,0
reserved_trend_trail_16m,115,42,24,6,3,0,5,0
reserved_poc_scale_16m,115,42,24,6,3,1,5,1
reserved_trend_trail_30m,142,49,40,9,3,0,9,0
reserved_poc_scale_30m,142,49,40,9,3,1,9,1
