variant,signal_time,entry_time,exit_time,session_date,phase,day_regime,setup,side,trend_bias,trend_model,trend_risk_multiplier,entry_price,initial_stop_price,final_stop_price,target_price,exit_price,exit_reason,holding_bars,holding_minutes,notional_fraction,base_notional_fraction,added_notional_fraction,scale_count,scale_signal_time,scale_signal_poc,scale_entry_time,scale_entry_price,scale_poc,locked_net_profit_at_scale,stop_was_raised,poc_cross_count,aligned_poc_cross_count,qualified_scale_signal_count,scale_rejection_reason,scale_trigger,chart_acceptance_count,risk_fraction_deployed,gross_return,one_way_turnover,execution_cost,net_return,gross_r_multiple,net_r_multiple
static_30m,2024-01-05 15:00:00+00:00,2024-01-05 15:02:00+00:00,2024-01-05 15:06:00+00:00,2024-01-05,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,1.0,16368.2,16348.934285714287,16348.934285714287,16406.73142857143,16406.73142857143,target,3,6,8.496025507934174,8.496025507934174,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,0.020000000000000333,16.99205101586835,0.0008496025507934175,0.019150397449206914,2.0000000000000333,1.9150397449206913
static_30m,2024-01-16 15:12:00+00:00,2024-01-16 15:14:00+00:00,2024-01-16 15:22:00+00:00,2024-01-16,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,1.0,16817.15,16792.912142857145,16792.912142857145,16865.625714285718,16865.625714285718,target,5,10,6.938381516517809,6.938381516517809,0.0,0,,,,,,0.0,False,1,0,0,not_signaled,none,0,0.01,0.020000000000001305,13.876763033035617,0.0006938381516517809,0.019306161848349525,2.0000000000001306,1.9306161848349523
static_30m,2024-02-14 15:18:00+00:00,2024-02-14 15:20:00+00:00,2024-02-14 15:28:00+00:00,2024-02-14,opening_followthrough_30m,imbalance_up,imbalance_opening_range_breakout,long,neutral,10_30,1.0,17760.780000000002,17741.47785714286,17741.47785714286,17799.384285714288,17772.27,window_end,5,10,9.201455056803605,9.201455056803605,0.0,0,,,,,,0.0,False,1,0,0,not_signaled,none,0,0.01,0.005952706953335942,18.40291011360721,0.0009201455056803605,0.0050325614476555815,0.5952706953335941,0.5032561447655581
static_30m,2024-02-15 15:02:00+00:00,2024-02-15 15:04:00+00:00,2024-02-15 15:06:00+00:00,2024-02-15,opening_followthrough_30m,balance,balance_value_rejection,short,neutral,10_30,1.0,17735.72,17756.842142857146,17756.842142857146,17693.475714285716,17756.842142857146,stop,2,4,8.396742754725734,8.396742754725734,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.0100000000000004,16.793485509451468,0.0008396742754725735,-0.010839674275472973,-1.00000000000004,-1.0839674275472972
static_30m,2024-02-16 15:00:00+00:00,2024-02-16 15:02:00+00:00,2024-02-16 15:04:00+00:00,2024-02-16,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,1.0,17667.33,17693.915,17693.915,17614.160000000003,17693.915,stop,2,4,6.645600902764741,6.645600902764741,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.01000000000000026,13.291201805529482,0.0006645600902764741,-0.010664560090276734,-1.000000000000026,-1.0664560090276733
static_30m,2024-02-16 15:26:00+00:00,2024-02-16 15:28:00+00:00,2024-02-16 15:28:00+00:00,2024-02-16,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,1.0,17685.850000000002,17708.84285714286,17708.84285714286,17639.864285714288,17704.72,window_end,1,2,7.691888785336855,7.691888785336855,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.008206896551723354,15.38377757067371,0.0007691888785336855,-0.00897608543025704,-0.8206896551723354,-0.897608543025704
static_30m,2024-02-20 15:08:00+00:00,2024-02-20 15:10:00+00:00,2024-02-20 15:28:00+00:00,2024-02-20,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,1.0,17483.260000000002,17505.257142857146,17505.257142857146,17439.265714285717,17456.640000000003,window_end,10,20,7.9479685673464315,7.9479685673464315,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,2,0.01,0.01210157163267945,15.895937134692863,0.0007947968567346431,0.011306774775944807,1.210157163267945,1.1306774775944808
static_30m,2024-02-27 15:00:00+00:00,2024-02-27 15:02:00+00:00,2024-02-27 15:04:00+00:00,2024-02-27,opening_followthrough_30m,balance,balance_value_rejection,long,long,10_30,1.0,17974.010000000002,17954.652142857147,17954.652142857147,18012.725714285716,17954.652142857147,stop,2,4,9.285123796170312,9.285123796170312,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.00999999999999975,18.570247592340625,0.0009285123796170313,-0.010928512379616782,-0.999999999999975,-1.0928512379616782
static_30m,2024-02-27 15:18:00+00:00,2024-02-27 15:20:00+00:00,2024-02-27 15:24:00+00:00,2024-02-27,opening_followthrough_30m,balance,balance_value_rejection,long,long,10_30,1.0,17992.260000000002,17973.963571428572,17973.963571428572,18028.852857142858,17973.963571428572,stop,3,6,9.833755221549959,9.833755221549959,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.01000000000000042,19.667510443099918,0.000983375522154996,-0.010983375522155416,-1.000000000000042,-1.0983375522155416
static_30m,2024-03-05 15:08:00+00:00,2024-03-05 15:10:00+00:00,2024-03-05 15:24:00+00:00,2024-03-05,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,long,10_30,1.0,17977.210000000003,18001.128571428573,18001.128571428573,17929.372857142862,17929.372857142862,target,8,16,7.5160048975692035,7.5160048975692035,0.0,0,,,,,,0.0,False,1,0,0,not_signaled,none,0,0.01,0.019999999999999338,15.032009795138407,0.0007516004897569204,0.019248399510242417,1.9999999999999338,1.9248399510242418
static_30m,2024-03-07 15:14:00+00:00,2024-03-07 15:16:00+00:00,2024-03-07 15:28:00+00:00,2024-03-07,opening_followthrough_30m,imbalance_up,imbalance_opening_range_breakout,long,long,10_30,1.0,18206.710000000003,18186.64142857143,18186.64142857143,18246.847142857147,18215.7,window_end,7,14,9.072250142368933,9.072250142368933,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,0.004479641230067487,18.144500284737866,0.0009072250142368934,0.003572416215830594,0.4479641230067487,0.3572416215830594
static_30m,2024-03-15 14:00:00+00:00,2024-03-15 14:02:00+00:00,2024-03-15 14:10:00+00:00,2024-03-15,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,1.0,17845.370000000003,17874.023571428574,17874.023571428574,17788.06285714286,17874.023571428574,stop,5,10,6.227974074535744,6.227974074535744,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.010000000000000378,12.455948149071489,0.0006227974074535745,-0.010622797407453952,-1.0000000000000377,-1.0622797407453952
static_30m,2024-03-27 14:00:00+00:00,2024-03-27 14:02:00+00:00,2024-03-27 14:02:00+00:00,2024-03-27,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,long,10_30,1.0,18229.800000000003,18248.767142857145,18248.767142857145,18191.865714285716,18191.865714285716,target,1,2,9.611252541989744,9.611252541989744,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,0.020000000000001066,19.222505083979488,0.0009611252541989744,0.01903887474580209,2.0000000000001066,1.903887474580209
static_30m,2024-04-05 14:08:00+00:00,2024-04-05 14:10:00+00:00,2024-04-05 14:26:00+00:00,2024-04-05,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,1.0,18035.97,18010.710714285717,18010.710714285717,18086.48857142857,18010.710714285717,stop,9,18,7.140332550971483,7.140332550971483,0.0,0,,,,,,0.0,False,1,0,0,not_signaled,none,0,0.01,-0.00999999999999964,14.280665101942965,0.0007140332550971483,-0.010714033255096787,-0.9999999999999639,-1.0714033255096787
static_30m,2024-04-09 14:26:00+00:00,2024-04-09 14:28:00+00:00,2024-04-09 14:28:00+00:00,2024-04-09,opening_followthrough_30m,balance,balance_value_rejection,short,neutral,10_30,1.0,18144.140000000003,18161.180714285718,18161.180714285718,18110.058571428573,18110.058571428573,target,1,2,10.0,10.0,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.009391855599501548,0.018783711199004127,20.0,0.001,0.017783711199004126,2.0000000000001097,1.8935247684118948
static_30m,2024-04-15 14:08:00+00:00,2024-04-15 14:10:00+00:00,2024-04-15 14:10:00+00:00,2024-04-15,opening_followthrough_30m,balance,balance_value_rejection,short,short,10_30,1.0,18091.66,18112.99357142857,18112.99357142857,18048.992857142857,18048.992857142857,target,1,2,8.480370978002219,8.480370978002219,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,0.019999999999999667,16.960741956004437,0.0008480370978002219,0.019151962902199445,1.9999999999999667,1.9151962902199444
static_30m,2024-04-18 14:08:00+00:00,2024-04-18 14:10:00+00:00,2024-04-18 14:28:00+00:00,2024-04-18,opening_followthrough_30m,balance,balance_value_rejection,long,short,10_30,1.0,17504.81,17478.955714285716,17478.955714285716,17556.518571428573,17514.81,window_end,10,20,6.770564150734905,6.770564150734905,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,0.003867830699525193,13.54112830146981,0.0006770564150734905,0.0031907742844517026,0.3867830699525193,0.31907742844517023
static_30m,2024-04-26 14:02:00+00:00,2024-04-26 14:04:00+00:00,2024-04-26 14:06:00+00:00,2024-04-26,opening_followthrough_30m,imbalance_up,imbalance_opening_range_breakout,long,neutral,10_30,1.0,17695.95,17668.63142857143,17668.63142857143,17750.587142857144,17668.63142857143,stop,2,4,6.477626418448819,6.477626418448819,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.010000000000000044,12.955252836897637,0.0006477626418448819,-0.010647762641844926,-1.0000000000000044,-1.0647762641844927
static_30m,2024-04-30 14:12:00+00:00,2024-04-30 14:14:00+00:00,2024-04-30 14:26:00+00:00,2024-04-30,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,1.0,17757.29,17738.009285714288,17738.009285714288,17795.851428571426,17738.009285714288,stop,7,14,9.209871448153589,9.209871448153589,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.01,-0.009999999999999997,18.419742896307177,0.0009209871448153589,-0.010920987144815356,-0.9999999999999997,-1.0920987144815355
static_30m,2024-05-09 14:22:00+00:00,2024-05-09 14:24:00+00:00,2024-05-09 14:28:00+00:00,2024-05-09,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,1.0,18070.4,18053.89285714286,18053.89285714286,18103.41428571429,18060.78,window_end,3,6,10.0,10.0,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.009134907283260909,-0.00532362316274293,20.0,0.001,-0.00632362316274293,-0.5827780181740984,-0.69224820424073
static_30m,2024-06-05 14:22:00+00:00,2024-06-05 14:24:00+00:00,2024-06-05 14:28:00+00:00,2024-06-05,opening_followthrough_30m,imbalance_up,imbalance_opening_range_breakout,long,long,10_30,1.0,18832.980000000003,18811.92142857143,18811.92142857143,18875.097142857147,18856.480000000003,window_end,3,6,8.943142256291766,8.943142256291766,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,none,0,0.010000000000000002,0.011159351468692605,17.886284512583533,0.0008943142256291767,0.010265037243063428,1.1159351468692602,1.0265037243063426
