variant,signal_time,entry_time,exit_time,session_date,phase,day_regime,setup,side,trend_bias,trend_model,trend_risk_multiplier,entry_price,initial_stop_price,final_stop_price,target_price,exit_price,exit_reason,holding_bars,holding_minutes,notional_fraction,base_notional_fraction,added_notional_fraction,scale_count,scale_signal_time,scale_signal_poc,scale_entry_time,scale_entry_price,scale_poc,locked_net_profit_at_scale,stop_was_raised,poc_cross_count,aligned_poc_cross_count,qualified_scale_signal_count,scale_rejection_reason,risk_fraction_deployed,gross_return,one_way_turnover,execution_cost,net_return,gross_r_multiple,net_r_multiple
trend_trail_poc_scale_30m,2024-01-05 15:00:00+00:00,2024-01-05 15:02:00+00:00,2024-01-05 15:06:00+00:00,2024-01-05,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,0.75,16368.2,16348.934285714287,16373.016428571429,16406.73142857143,16406.73142857143,target,3,6,6.372019130950631,6.372019130950631,0.0,0,,,,,,0.0,True,0,0,0,not_signaled,0.0075,0.015000000000000251,12.744038261901261,0.0006372019130950631,0.014362798086905187,2.0000000000000338,1.9150397449206917
trend_trail_poc_scale_30m,2024-01-16 15:12:00+00:00,2024-01-16 15:14:00+00:00,2024-01-16 15:22:00+00:00,2024-01-16,opening_followthrough_30m,balance,balance_value_rejection,long,neutral,10_30,0.75,16817.15,16792.912142857145,16823.209464285716,16865.625714285718,16865.625714285718,target,5,10,5.203786137388356,5.203786137388356,0.0,0,,,,,,0.0,True,1,0,0,not_signaled,0.007499999999999999,0.015000000000000976,10.407572274776712,0.0005203786137388356,0.01447962138626214,2.0000000000001306,1.9306161848349523
trend_trail_poc_scale_30m,2024-02-14 15:18:00+00:00,2024-02-14 15:20:00+00:00,2024-02-14 15:28:00+00:00,2024-02-14,opening_followthrough_30m,imbalance_up,imbalance_opening_range_breakout,long,neutral,10_30,0.75,17760.780000000002,17741.47785714286,17741.47785714286,17799.384285714288,17772.27,window_end,5,10,6.901091292602703,6.901091292602703,0.0,0,,,,,,0.0,False,1,0,0,not_signaled,0.0075,0.004464530215001956,13.802182585205406,0.0006901091292602703,0.0037744210857416855,0.5952706953335941,0.5032561447655581
trend_trail_poc_scale_30m,2024-02-15 15:02:00+00:00,2024-02-15 15:04:00+00:00,2024-02-15 15:06:00+00:00,2024-02-15,opening_followthrough_30m,balance,balance_value_rejection,short,neutral,10_30,0.75,17735.72,17756.842142857146,17756.842142857146,17693.475714285716,17756.842142857146,stop,2,4,6.2975570660443,6.2975570660443,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,0.0075,-0.007500000000000299,12.5951141320886,0.00062975570660443,-0.008129755706604729,-1.00000000000004,-1.0839674275472972
trend_trail_poc_scale_30m,2024-02-16 15:00:00+00:00,2024-02-16 15:02:00+00:00,2024-02-16 15:04:00+00:00,2024-02-16,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,0.75,17667.33,17693.915,17693.915,17614.160000000003,17693.915,stop,2,4,4.984200677073556,4.984200677073556,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,0.007500000000000001,-0.007500000000000196,9.968401354147112,0.0004984200677073556,-0.00799842006770755,-1.000000000000026,-1.0664560090276733
trend_trail_poc_scale_30m,2024-02-16 15:26:00+00:00,2024-02-16 15:28:00+00:00,2024-02-16 15:28:00+00:00,2024-02-16,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,0.75,17685.850000000002,17708.84285714286,17708.84285714286,17639.864285714288,17704.72,window_end,1,2,5.76891658900264,5.76891658900264,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,0.0075,-0.0061551724137925146,11.53783317800528,0.000576891658900264,-0.006732064072692778,-0.8206896551723353,-0.8976085430257038
trend_trail_poc_scale_30m,2024-02-20 15:08:00+00:00,2024-02-20 15:10:00+00:00,2024-02-20 15:26:00+00:00,2024-02-20,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,neutral,10_30,0.75,17483.260000000002,17505.257142857146,17477.760714285716,17439.265714285717,17477.760714285716,trailing_stop,9,18,5.960976425509823,5.960976425509823,0.0,0,,,,,,0.0,True,0,0,0,not_signaled,0.0075,0.0018750000000003085,11.921952851019647,0.0005960976425509823,0.0012789023574493262,0.25000000000004113,0.17052031432657683
trend_trail_poc_scale_30m,2024-02-27 15:00:00+00:00,2024-02-27 15:02:00+00:00,2024-02-27 15:04:00+00:00,2024-02-27,opening_followthrough_30m,balance,balance_value_rejection,long,long,10_30,1.0,17974.010000000002,17954.652142857147,17954.652142857147,18012.725714285716,17954.652142857147,stop,2,4,9.285123796170312,9.285123796170312,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,0.01,-0.00999999999999975,18.570247592340625,0.0009285123796170313,-0.010928512379616782,-0.999999999999975,-1.0928512379616782
trend_trail_poc_scale_30m,2024-02-27 15:18:00+00:00,2024-02-27 15:20:00+00:00,2024-02-27 15:24:00+00:00,2024-02-27,opening_followthrough_30m,balance,balance_value_rejection,long,long,10_30,1.0,17992.260000000002,17973.963571428572,17973.963571428572,18028.852857142858,17973.963571428572,stop,3,6,9.833755221549959,9.833755221549959,0.0,0,,,,,,0.0,False,0,0,0,not_signaled,0.01,-0.01000000000000042,19.667510443099918,0.000983375522154996,-0.010983375522155416,-1.000000000000042,-1.0983375522155416
trend_trail_poc_scale_30m,2024-03-05 15:08:00+00:00,2024-03-05 15:10:00+00:00,2024-03-05 15:24:00+00:00,2024-03-05,opening_followthrough_30m,imbalance_down,imbalance_opening_range_breakout,short,long,10_30,0.5,17977.210000000003,18001.128571428573,17971.23035714286,17929.372857142862,17929.372857142862,target,8,16,3.7580024487846018,3.7580024487846018,0.0,0,,,,,,0.0,True,1,0,0,not_signaled,0.005,0.009999999999999669,7.5160048975692035,0.0003758002448784602,0.009624199755121209,1.9999999999999338,1.9248399510242418
