session_date,session_open,session_close,daily_context_date,daily_state,side,side_name,profile_anchor_time,profile_last_bar_time,signal_bar_start,signal_available_time,signal_bar_id,signal_atr,signal_volume_strength,signal_excursion_atr,signal_close_location,profile_poc,profile_vah,profile_val,trigger_price,initial_stop,target1,target2,structural_rr_at_signal,minutes_from_rth_open
2024-02-14,2024-02-14 14:30:00+00:00,2024-02-14 21:00:00+00:00,2024-02-13,up,1,long,2024-02-14 08:16:00+00:00,2024-02-14 16:17:00+00:00,2024-02-14 16:17:00+00:00,2024-02-14 16:18:00+00:00,43110,12.354999999999563,1.013291634089132,0.7389720760823718,0.9039115646257506,17721.853750000002,17746.370000000003,17692.880000000005,17651.397100000002,17638.77225,17721.853750000002,17746.370000000003,7.522695319152269,107.0
2024-02-14,2024-02-14 14:30:00+00:00,2024-02-14 21:00:00+00:00,2024-02-13,up,1,long,2024-02-14 08:16:00+00:00,2024-02-14 17:06:00+00:00,2024-02-14 17:06:00+00:00,2024-02-14 17:07:00+00:00,43159,11.21714285714266,1.2484692233322592,0.6775343861438642,0.9926760563381757,17720.94796875,17742.9375,17674.525625000002,17643.63434285714,17625.099142857143,17720.94796875,17742.9375,5.357544409710529,156.0
2024-02-15,2024-02-15 14:30:00+00:00,2024-02-15 21:00:00+00:00,2024-02-14,up,1,long,2024-02-15 14:57:00+00:00,2024-02-15 16:05:00+00:00,2024-02-15 16:05:00+00:00,2024-02-15 16:06:00+00:00,44478,12.357857142857288,1.5784925588094094,0.8310502283105279,0.6354497354497943,17764.74546875,17785.274375,17752.8603125,17748.23715714286,17728.472107142858,17764.74546875,17785.274375,1.8738742303782765,95.0
2024-02-15,2024-02-15 14:30:00+00:00,2024-02-15 21:00:00+00:00,2024-02-14,up,1,long,2024-02-15 14:57:00+00:00,2024-02-15 16:52:00+00:00,2024-02-15 16:52:00+00:00,2024-02-15 16:53:00+00:00,44525,8.084285714285736,1.084855627578079,1.19119985863239,0.6290967226219015,17766.005625,17785.346250000002,17749.24375,17762.521685714288,17749.445785714288,17766.005625,17785.346250000002,1.7455444203240238,142.0
2024-02-20,2024-02-20 14:30:00+00:00,2024-02-20 21:00:00+00:00,2024-02-19,up,1,long,2024-02-20 14:52:00+00:00,2024-02-20 15:26:00+00:00,2024-02-20 15:26:00+00:00,2024-02-20 15:27:00+00:00,48336,14.662142857142628,0.9040205303678358,0.6397427778049218,0.6005416384562436,17485.16171875,17501.18625,17464.2065625,17466.943242857145,17451.146892857145,17485.16171875,17501.18625,2.1677797176469444,56.0
2024-02-20,2024-02-20 14:30:00+00:00,2024-02-20 21:00:00+00:00,2024-02-19,up,1,long,2024-02-20 14:52:00+00:00,2024-02-20 16:57:00+00:00,2024-02-20 16:57:00+00:00,2024-02-20 16:58:00+00:00,48427,9.458571428571824,1.2615384615384615,0.57091073855926,0.7582720588234584,17485.175000000003,17511.8,17455.0,17463.81917142857,17452.277071428573,17485.175000000003,17511.8,4.157027626812553,147.0
2024-02-20,2024-02-20 14:30:00+00:00,2024-02-20 21:00:00+00:00,2024-02-19,up,1,long,2024-02-20 14:52:00+00:00,2024-02-20 17:20:00+00:00,2024-02-20 17:20:00+00:00,2024-02-20 17:21:00+00:00,48450,10.514285714285766,1.1353711790393013,0.6429347826088863,0.8788410886742187,17486.26953125,17518.203125,17454.3359375,17419.10028571429,17406.974285714285,17486.26953125,17518.203125,8.172756002447644,170.0
2024-02-21,2024-02-21 14:30:00+00:00,2024-02-21 21:00:00+00:00,2024-02-20,up,1,long,2024-02-21 14:51:00+00:00,2024-02-21 17:18:00+00:00,2024-02-21 17:18:00+00:00,2024-02-21 17:19:00+00:00,49828,11.697142857142483,1.2351945854483926,0.6206643869075528,0.600853788687474,17427.049218750002,17458.756875000003,17417.3990625,17397.913942857143,17387.725142857144,17427.049218750002,17458.756875000003,5.971550343795142,168.0
2024-02-21,2024-02-21 14:30:00+00:00,2024-02-21 21:00:00+00:00,2024-02-20,up,1,long,2024-02-21 14:51:00+00:00,2024-02-21 17:24:00+00:00,2024-02-21 17:24:00+00:00,2024-02-21 17:25:00+00:00,49834,9.502857142856945,1.236040609137056,0.4598616957305097,0.9431554524360025,17427.049218750002,17458.756875000003,17417.3990625,17399.860057142858,17390.57485714286,17427.049218750002,17458.756875000003,6.343085540123511,174.0
2024-02-23,2024-02-23 14:30:00+00:00,2024-02-23 21:00:00+00:00,2024-02-22,up,1,long,2024-02-23 09:28:00+00:00,2024-02-23 15:10:00+00:00,2024-02-23 15:10:00+00:00,2024-02-23 15:11:00+00:00,52460,14.614999999999782,1.0443775855584807,0.7177557304138296,1.0,18086.010625000003,18097.370000000003,18015.5825,18024.412300000004,18011.639250000004,18086.010625000003,18097.370000000003,5.711846426656144,40.0
