,fcf_margin,ni_margin,low_leverage,rev_growth,stability,n_metrics,quality_z,eligible
GE,0.154,0.179,-0.159,0.217,1.0,5,0.875,True
ADP,,0.201,-0.062,0.069,1.0,4,0.821,True
UBER,0.183,0.159,-0.176,0.183,0.917,5,0.739,True
UNP,0.231,0.292,-0.457,0.019,1.0,5,0.47,True
GEV,0.191,0.238,,0.103,0.667,4,0.47,True
CSX,0.135,0.216,,-0.009,1.0,4,0.232,True
ETN,0.132,0.14,-0.338,0.127,1.0,5,0.188,True
CAT,0.134,,-0.321,0.118,0.917,4,0.141,True
RTX,0.094,0.08,,0.106,0.917,4,-0.168,True
DE,0.138,0.103,,-0.026,1.0,4,-0.174,True
NOC,0.078,0.108,-0.288,0.05,0.917,5,-0.226,True
MMM,0.082,0.111,-0.308,0.021,0.833,5,-0.373,True
LMT,0.075,0.064,-0.347,0.046,1.0,5,-0.389,True
HON,0.106,0.103,-0.434,0.036,0.917,5,-0.436,True
FDX,0.048,0.049,,0.047,1.0,4,-0.526,True
UPS,0.051,0.059,-0.328,-0.029,1.0,5,-0.608,True
BA,-0.011,0.025,-0.285,0.327,0.083,5,-0.875,True
