,ocf_margin,ocf_growth,low_leverage,ocf_stability,ocf_margin_z,ocf_growth_z,low_leverage_z,ocf_stability_z,n_metrics,quality_z,eligible
CSGP,0.155,0.727,-0.098,1.0,-1.368,2.985,1.321,0.299,4,0.809,True
O,0.69,0.139,,1.0,1.083,0.409,,0.299,3,0.597,True
VICI,0.631,0.05,-0.356,1.0,0.814,0.014,0.368,0.299,4,0.374,True
PLD,0.574,0.024,-0.353,1.0,0.552,-0.099,0.379,0.299,4,0.283,True
PSA,0.654,0.003,-0.489,1.0,0.918,-0.191,-0.122,0.299,4,0.226,True
AVB,0.546,0.039,-0.423,1.0,0.425,-0.031,0.122,0.299,4,0.204,True
AMT,0.515,0.05,,1.0,0.281,0.019,,0.299,3,0.199,True
WELL,0.251,0.206,-0.267,1.0,-0.929,0.7,0.699,0.299,4,0.192,True
EQR,,0.029,-0.402,1.0,,-0.076,0.201,0.299,3,0.141,True
EXR,0.544,-0.023,,1.0,0.417,-0.306,,0.299,3,0.137,True
SPG,0.65,0.084,-0.7,1.0,0.9,0.167,-0.902,0.299,4,0.116,True
DLR,0.401,0.103,,1.0,-0.239,0.248,,0.299,3,0.103,True
EQIX,0.405,0.104,-0.484,1.0,-0.224,0.252,-0.103,0.299,4,0.056,True
CCI,0.694,-0.02,-0.775,1.0,1.104,-0.291,-1.179,0.299,4,-0.017,True
SBAC,0.436,-0.072,-1.106,1.0,-0.079,-0.518,-2.4,0.299,4,-0.675,True
WY,0.079,-0.43,-0.308,0.917,-1.716,-2.087,0.547,-0.716,4,-0.993,True
CBRE,0.03,-0.226,-0.166,0.667,-1.94,-1.194,1.07,-3.762,4,-1.456,True
