,ocf_margin,capex_coverage,low_leverage,revenue_steadiness,earnings_stability,ocf_margin_z,capex_coverage_z,low_leverage_z,revenue_steadiness_z,earnings_stability_z,n_metrics,quality_z,eligible
AEP,0.313,1.587,-0.421,-0.043,1.0,0.273,1.627,-0.423,0.725,0.558,5,0.552,True
SO,0.324,0.738,,-0.042,1.0,0.467,-0.468,,0.751,0.558,4,0.327,True
WEC,0.341,0.878,-0.375,-0.081,1.0,0.748,-0.124,0.139,0.204,0.558,5,0.305,True
CEG,0.166,1.437,-0.129,-0.108,0.917,-2.21,1.255,3.128,-0.156,-0.534,5,0.297,True
ED,0.24,,-0.345,-0.025,1.0,-0.951,,0.498,0.975,0.558,4,0.27,True
PEG,0.275,1.055,-0.398,-0.1,1.0,-0.361,0.313,-0.151,-0.047,0.558,5,0.062,True
SRE,0.364,0.456,,-0.121,1.0,1.139,-1.165,,-0.338,0.558,4,0.048,True
D,0.29,,-0.391,-0.111,1.0,-0.11,,-0.057,-0.201,0.558,4,0.048,True
EXC,0.273,0.758,-0.407,-0.048,1.0,-0.39,-0.419,-0.257,0.659,0.558,5,0.03,True
ES,0.316,1.057,-0.415,-0.077,0.917,0.324,0.318,-0.354,0.271,-0.534,5,0.005,True
NEE,,,-0.424,-0.109,1.0,,,-0.466,-0.172,0.558,3,-0.026,True
XEL,,0.398,-0.419,-0.028,1.0,,-1.308,-0.403,0.932,0.558,4,-0.055,True
DUK,,0.78,-0.406,-0.052,0.917,,-0.366,-0.247,0.604,-0.534,4,-0.136,True
AWK,0.391,0.628,,-0.297,1.0,1.606,-0.74,,-2.75,0.558,4,-0.331,True
PCG,0.321,0.663,-0.424,-0.071,0.818,0.419,-0.653,-0.459,0.354,-1.824,5,-0.433,True
VST,0.24,1.629,-0.464,-0.228,0.75,-0.953,1.729,-0.949,-1.81,-2.718,5,-0.94,True
