sector,symbol,first_price_date,last_price_date,events,golden_crosses,death_crosses,crosses_per_year,median_days_between_crosses,whipsaw_rate_%,golden_fwd_63d_%,golden_fwd_126d_%,death_fwd_63d_%,death_fwd_126d_%
Health Care,XLV,1998-12-22,2026-07-10,45,23,22,1.6334973166368516,104.0,55.55555555555556,2.167048721814545,2.5568000469163907,4.623212685535161,6.508928523997287
Materials,XLB,1998-12-22,2026-07-10,44,22,22,1.5971973762671436,128.5,40.909090909090914,2.9890625180575507,4.825457876694283,2.5317000543190633,5.734096726166429
Industrials,XLI,1998-12-22,2026-07-10,42,21,21,1.5245974955277282,107.5,52.38095238095239,2.696518610818945,4.423574037306498,6.6634878343176425,6.661426291607343
Real Estate,XLRE,2015-10-08,2026-07-10,16,8,8,1.4877800407331976,101.5,56.25,-2.8742076463676964,-3.3014724041826025,5.887486048675046,7.16260629168888
Consumer Cyclical,XLY,1998-12-22,2026-07-10,37,19,18,1.343097793679189,72.0,48.64864864864865,5.273095221763046,5.495241059676689,12.164115184381616,14.972724750481897
Consumer Defensive,XLP,1998-12-22,2026-07-10,37,19,18,1.343097793679189,114.0,54.054054054054056,0.8319259444262249,2.7399988431120366,2.0642783853330826,4.43719523086596
Financials,XLF,1998-12-22,2026-07-10,35,18,17,1.2704979129397735,124.0,45.714285714285715,2.96368998935808,8.280411174293477,3.926556900615595,4.110134338581034
Energy,XLE,1998-12-22,2026-07-10,34,17,17,1.2341979725700656,155.5,35.294117647058826,-0.008671555592558852,7.874152524957396,-2.126991364301109,1.1195151294021037
Technology,XLK,1998-12-22,2026-07-10,32,16,16,1.16159809183065,107.5,40.625,6.6110512389456355,12.705272200360152,6.2255442474203,10.70066743152451
Utilities,XLU,1998-12-22,2026-07-10,30,15,15,1.0889982110912344,148.0,40.0,3.065901194977535,7.845777772736369,1.053465227849617,3.1047421424069213
Communication Svcs,XLC,2018-06-19,2026-07-10,6,3,3,0.7446483180428134,275.5,33.33333333333333,10.443499956622466,15.023333144507403,9.196032597351135,4.8759829130609775
