rank,sector,symbol,side,advisor_weight_%,portfolio_role,final_score,ensemble_probability,daily_50_200_state,daily_50_200_gap,relative_oscillator,current_regime_fwd6_excess_%,fake_breakout_rate_%,trend_quality_score,action_note
1,Energy,XLE,Long,41.92836145375162,risk-on,0.8154545454545455,0.5869741919993996,golden,0.10835510253109493,-0.05955502043722715,6.069150664376159,45.0,0.34545454545454546,Long candidate
2,Technology,XLK,Long,21.725404881959822,risk-on,0.7265909090909091,0.5826975414161814,golden,0.18671839912962307,0.717012478772751,-1.7437619132536508,46.0,0.6318181818181818,Long candidate
3,Materials,XLB,Long,21.34623366428855,risk-on,0.6201136363636364,0.4970962742551961,golden,0.06128762830946388,-0.15852899221462055,-0.08366373450932277,41.0,0.5886363636363637,Long candidate
4,Financials,XLF,Flat,0.0,risk-on,0.6081818181818183,0.4920971770420895,golden,0.0067489911713487505,-0.07735758103547548,3.9792996132584975,43.0,0.5090909090909091,Hold flat
5,Utilities,XLU,Flat,0.0,risk-on,0.5947727272727273,0.4937535430082938,golden,0.012111946889060032,-0.2640352649647594,3.1924916740347404,46.0,0.45,Hold flat
6,Real Estate,XLRE,Flat,0.0,risk-on,0.5936363636363637,0.546975275467875,golden,0.056040432668506,0.1426312301322498,-2.893850110201402,48.0,0.5636363636363637,Hold flat
7,Consumer Cyclical,XLY,Flat,0.0,risk-on,0.4577272727272727,0.4805730768494252,golden,0.0018268803604248873,-0.5673595062580253,-1.5221311560851203,46.0,0.6272727272727273,Hold flat
8,Consumer Defensive,XLP,Flat,0.0,risk-on,0.4568181818181818,0.4559894180146309,golden,0.03500232336122622,-0.23947343647587876,1.6428258567881413,52.0,0.4090909090909091,Hold flat
9,Industrials,XLI,Short,-1.6845797227190855,risk-on,0.45170454545454547,0.36669395930447085,golden,0.07004081494442516,0.2857836889616764,0.13535381733653123,41.0,0.7386363636363636,Hedge only; above 50/200 trend
10,Communication Svcs,XLC,Short,-6.270814164092011,risk-on,0.38636363636363635,0.41476260752440064,death,-0.013784307214010583,-0.6133665906290275,-1.8154631385664568,33.0,1.0,Short/hedge candidate
11,Health Care,XLV,Short,-7.0446061131889035,risk-on,0.23863636363636365,0.3174353541453821,golden,0.008146615073290508,0.5159392960918032,-2.1949494565326084,58.0,0.13636363636363638,Hedge only; above 50/200 trend
