scope,mode,include_gold,signal_date,entry_date,exit_date,selected,weights,strategy_return,spy_return,turnover,turnover_cost,stop_count,stopped_symbols,gold_weight,selected_count,equity_strategy,equity_spy
history,ml_5bar,False,2006-01-03,2006-01-04,2006-01-11,"XLE, XLP, XLB","{""XLB"": 0.30857106361393655, ""XLE"": 0.379013756482043, ""XLP"": 0.3124151799040204}",0.0072309833290960975,0.01578919510614951,1.0,0.0015,0,,0.0,3,1.007230983329096,1.0157891951061495
history,ml_5bar,False,2006-01-10,2006-01-11,2006-01-19,Cash,{},-0.0015,-0.007733362472173488,1.0,0.0015,0,,0.0,0,1.0057201368541024,1.0079337290650763
history,ml_5bar,False,2006-01-18,2006-01-19,2006-01-26,XLP,"{""XLP"": 1.0}",-0.008730934465391913,-0.007403671087679808,1.0,0.0015,0,,0.0,1,0.9969392602487044,1.0004713192569
history,ml_5bar,False,2006-01-25,2006-01-26,2006-02-02,"XLV, XLP, XLI","{""XLI"": 0.2835377218181188, ""XLP"": 0.3363498910846431, ""XLV"": 0.380112387097238}",1.226806382977931e-05,-0.003611977390117871,1.3273002178307136,0.0019909503267460703,0,,0.0,3,0.9969514907631835,0.9968576394722826
history,ml_5bar,False,2006-02-01,2006-02-02,2006-02-09,"XLV, XLP, XLF","{""XLF"": 0.313140372741986, ""XLP"": 0.3307097929627823, ""XLV"": 0.3561498342952318}",-0.002179230887432265,-0.003861473555145878,0.6262807454839718,0.0009394211182259577,0,,0.0,3,0.9947789032812407,0.9930083000592153
history,ml_5bar,False,2006-02-08,2006-02-09,2006-02-16,"XLF, XLB, XLP","{""XLB"": 0.33613384292675874, ""XLF"": 0.34515654195627204, ""XLP"": 0.31870961511696916}",0.022348924363241363,0.021754786902627332,0.7363000242820897,0.0011044500364231346,0,,0.0,3,1.0170111417488212,1.0146109840195436
history,ml_5bar,False,2006-02-15,2006-02-16,2006-02-24,"XLB, XLI, XLK","{""XLB"": 0.36804515702929297, ""XLI"": 0.3176947633680165, ""XLK"": 0.31426007960269065}",-0.004557529565460091,0.0019357787530414061,1.3277323141464825,0.0019915984712197236,0,,0.0,3,1.0123760834018987,1.0165750464050112
history,ml_5bar,False,2006-02-23,2006-02-24,2006-03-03,"XLB, XLK, XLF","{""XLB"": 0.36527865966815737, ""XLF"": 0.3147711605608714, ""XLK"": 0.3199501797709712}",0.00015115222869638268,-0.005022992468637022,0.6409225214583041,0.0009613837821874562,0,,0.0,3,1.0125291063031838,1.0114687976031145
history,ml_5bar,False,2006-03-02,2006-03-03,2006-03-10,XLV,"{""XLV"": 1.0}",-0.0008369394210453436,-0.001320549630262402,2.0,0.003,0,,0.0,1,1.0116816807791629,1.0101331028564178
history,ml_5bar,False,2006-03-09,2006-03-10,2006-03-17,XLV,"{""XLV"": 1.0}",0.012249664196997134,0.019825990941890304,0.0,0.0,0,,0.0,1,1.0240744416429612,1.0301599926037526
history,ml_5bar,False,2006-03-16,2006-03-17,2006-03-24,XLV,"{""XLV"": 1.0}",-0.0012225630240979557,-0.0031385868635182,0.0,0.0,0,,0.0,1,1.0228224460966848,1.0269267459836444
history,ml_5bar,False,2006-03-23,2006-03-24,2006-03-31,"XLV, XLB","{""XLB"": 0.48781563947285905, ""XLV"": 0.5121843605271411}",-0.007867884761734022,-0.00291847950159585,0.975631278945718,0.001463446918418577,0,,0.0,2,1.0147749969590811,1.0239296813258507
history,ml_5bar,False,2006-03-30,2006-03-31,2006-04-07,XLV,"{""XLV"": 1.0}",-0.023352315903111133,-0.0022336747554622116,0.975631278945718,0.001463446918418577,0,,0.0,1,0.991077650659514,1.0216425554453048
history,ml_5bar,False,2006-04-06,2006-04-07,2006-04-17,"XLV, XLP","{""XLP"": 0.4654799922865861, ""XLV"": 0.534520007713414}",-0.01448310982110371,-0.006793312469025592,0.9309599845731721,0.0013964399768597582,0,,0.0,2,0.9767237642037708,1.0147022183345111
history,ml_5bar,False,2006-04-13,2006-04-17,2006-04-24,"XLP, XLV","{""XLP"": 0.5043085860860306, ""XLV"": 0.4956914139139695}",0.011601720600382337,0.017488219802194394,0.07765718759888901,0.00011648578139833352,0,,0.0,2,0.9880554404198166,1.0324475537625193
history,ml_5bar,False,2006-04-21,2006-04-24,2006-05-01,"XLV, XLP","{""XLP"": 0.49126167808051846, ""XLV"": 0.5087383219194815}",0.0009820239509625397,-0.0038957377077931676,0.026093816011024173,3.914072401653626e-05,0,,0.0,2,0.9890257345271878,1.0284254088960079
history,ml_5bar,False,2006-04-28,2006-05-01,2006-05-08,"XLV, XLI, XLP","{""XLI"": 0.32052210929034186, ""XLP"": 0.3205171952300499, ""XLV"": 0.35896069547960824}",0.014137134205516143,0.015030186839956494,0.6410442185806837,0.0009615663278710256,0,,0.0,3,1.0030077240689077,1.0438828349426734
history,ml_5bar,False,2006-05-05,2006-05-08,2006-05-15,"XLI, XLV","{""XLI"": 0.5246760368450666, ""XLV"": 0.4753239631549335}",-0.010638268025193885,-0.021607651215279744,0.6410343904600999,0.0009615515856901499,0,,0.0,2,0.992337459068923,1.0213269787356147
history,ml_5bar,False,2006-05-12,2006-05-15,2006-05-22,"XLV, XLI, XLK","{""XLI"": 0.34637753298234525, ""XLK"": 0.30373348867503236, ""XLV"": 0.3498889783426223}",-0.026522405490108984,-0.02602317939134602,0.6074669773500649,0.0009112004660250974,0,,0.0,3,0.9660182825964726,0.9947488035507563
history,ml_5bar,False,2006-05-19,2006-05-22,2006-05-30,"XLI, XLV, XLF","{""XLF"": 0.31676308222013533, ""XLI"": 0.3608470077062553, ""XLV"": 0.32238991007360934}",-0.004543499578403344,-0.00023760377771631092,0.6624651138880906,0.000993697670832136,0,,0.0,3,0.9616291789367656,0.994512447477154
history,ml_5bar,False,2006-05-26,2006-05-30,2006-06-06,"XLI, XLV, XLB","{""XLB"": 0.31107334255290786, ""XLI"": 0.35184604718242957, ""XLV"": 0.3370806102646626}",-0.0021634433098415102,0.005630053070452279,0.6515280854879222,0.0009772921282318833,0,,0.0,3,0.9595487487230464,1.0001116053356758
history,ml_5bar,False,2006-06-05,2006-06-06,2006-06-13,"XLI, XLV, XLK","{""XLI"": 0.37841239068640153, ""XLK"": 0.2954707570665275, ""XLV"": 0.3261168522470709}",-0.030083352771239285,-0.0335933743424115,0.644074201140999,0.0009661113017114985,0,,0.0,3,0.9306823052140097,0.9665144817934443
history,ml_5bar,False,2006-06-12,2006-06-13,2006-06-20,"XLI, XLB, XLV","{""XLB"": 0.34018520518421264, ""XLI"": 0.34308352463047637, ""XLV"": 0.31673127018531094}",0.015282863968826199,0.017042114214392834,0.6803704103684252,0.0010205556155526378,0,,0.0,3,0.9449057962827891,0.9829859319820329
history,ml_5bar,False,2006-06-19,2006-06-20,2006-06-27,"XLI, XLB, XLV","{""XLB"": 0.3247364550259384, ""XLI"": 0.35595879414822884, ""XLV"": 0.31930475082583276}",0.001949495011216535,-0.0014506529576714389,0.030897500316548532,4.63462504748228e-05,0,,0.0,3,0.9467478854187119,0.9815599605324538
history,ml_5bar,False,2006-06-26,2006-06-27,2006-07-05,"XLI, XLV, XLB","{""XLB"": 0.31284309969182555, ""XLI"": 0.36900271066080176, ""XLV"": 0.31815418964737263}",0.029783189591063183,0.02550224224433917,0.02608783302514589,3.913174953771883e-05,0,,0.0,3,0.9749450571850756,1.0065919404232964
