scope,mode,include_gold,strategy_label,total_return,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,hit_rate,average_trade_return,average_win,average_loss,trade_count,period_count,entry_count,turnover_per_year
history,ml_5bar,False,Sector ETF ML Rotation Stop 10%,1.8097874073614841,0.05253323584465597,0.46068046142414193,0.5949432969533129,-0.5601556413018742,0.09378328445030372,1.2800470377592432,0.4374057315233786,0.001813800688781384,0.01895396344466746,-0.014507093048282111,555,663,0,23.181084716801244
history,ml_5bar,False,SPY Buy And Hold,3.2884316006480683,0.07482088165701084,0.61887760985502,0.7400823998445707,-0.4933329992279888,0.15166405201779973,1.354375888862066,0.583710407239819,0.0024617151440604473,0.01611815800776755,-0.01680879565143783,1,663,1,0.0
history,regime_change,False,Sector ETF ML Rotation Stop 10%,2.343126446424785,0.06162949692613884,0.32619522094176495,1.4638764440729852,-0.3110657465472414,0.19812370089028494,2.9693784391986733,0.48484848484848486,0.05135607605862291,0.15970634198131378,-0.057370064117764276,31,33,0,1.8643835728718803
history,regime_change,False,SPY Buy And Hold,6.69628375125556,0.10641298770162266,0.537838552752367,1.3044758010241262,-0.42377975631572484,0.2511044619657168,4.222906727082806,0.7575757575757576,0.07732285463967976,0.133735147951405,-0.09896556195946161,1,33,1,0.0
holdout,ml_5bar,False,Sector ETF ML Rotation Stop 10%,0.12676769271579902,0.10775191805104956,1.4054878138107667,4.791612803897411,-0.013989068479605793,7.702579925756855,2.6605750574908593,0.5,0.006832119709462229,0.0218928583887717,-0.008228618969847242,11,18,0,11.817204704058627
holdout,ml_5bar,False,SPY Buy And Hold,0.1265635361920483,0.10757982726301307,1.6028824004870528,5.451630782740022,-0.02293403415265516,4.690837492738195,2.984250789864144,0.6666666666666666,0.006778658835614219,0.015292334583714337,-0.010248692660586015,1,18,1,0.0
holdout,regime_change,False,Sector ETF ML Rotation Stop 10%,0.008713056417950948,0.007361825840189962,,,0.0,,,1.0,0.00871305641795089,0.00871305641795089,,1,1,0,0.8454861111111112
holdout,regime_change,False,SPY Buy And Hold,0.15596300813267505,0.13036375662627142,,,0.0,,,1.0,0.15596300813267505,0.15596300813267505,,1,1,1,0.0
history,ml_5bar,True,ETF ML Rotation + Gold Stop 10%,1.2532648917031115,0.041082222256290324,0.37524542355997664,0.49810804914364254,-0.5601556413018742,0.07334072751781973,1.2168783703151436,0.45098039215686275,0.0014818904226039913,0.018436962053291917,-0.014951017504118275,566,663,0,24.01766259392233
history,ml_5bar,True,SPY Buy And Hold,3.2884316006480683,0.07482088165701084,0.61887760985502,0.7400823998445707,-0.4933329992279888,0.15166405201779973,1.354375888862066,0.583710407239819,0.0024617151440604473,0.01611815800776755,-0.01680879565143783,1,663,1,0.0
history,regime_change,True,ETF ML Rotation + Gold Stop 10%,2.276633677180776,0.06057317229046255,0.3233560810391158,1.5219816744889056,-0.3110657465472414,0.19472787654317747,2.995219649025622,0.48484848484848486,0.0502901098673559,0.1557092829008028,-0.05198593129938124,32,33,0,2.008451366919422
history,regime_change,True,SPY Buy And Hold,6.69628375125556,0.10641298770162266,0.537838552752367,1.3044758010241262,-0.42377975631572484,0.2511044619657168,4.222906727082806,0.7575757575757576,0.07732285463967976,0.133735147951405,-0.09896556195946161,1,33,1,0.0
holdout,ml_5bar,True,ETF ML Rotation + Gold Stop 10%,0.12669851337397087,0.1076936048238406,1.4031195912029286,4.797934568819984,-0.013989068479605793,7.698411440393161,2.6550278906844627,0.5,0.006829130116443609,0.021910846373437775,-0.008252586140550557,11,18,0,11.790300867094198
holdout,ml_5bar,True,SPY Buy And Hold,0.1265635361920483,0.10757982726301307,1.6028824004870528,5.451630782740022,-0.02293403415265516,4.690837492738195,2.984250789864144,0.6666666666666666,0.006778658835614219,0.015292334583714337,-0.010248692660586015,1,18,1,0.0
holdout,regime_change,True,ETF ML Rotation + Gold Stop 10%,0.00933087708318503,0.007883460223036654,,,0.0,,,1.0,0.009330877083184986,0.009330877083184986,,1,1,0,0.8454861111111112
holdout,regime_change,True,SPY Buy And Hold,0.15596300813267505,0.13036375662627142,,,0.0,,,1.0,0.15596300813267505,0.15596300813267505,,1,1,1,0.0
