date,symbol,sector_label,prob_elastic_net,prob_extra_trees,prob_lightgbm,ensemble_probability,target,forward_return,regime_label,quadrant_label,fold_label
2010-01-04,GLD,Gold,0.33720199236902776,0.4373356477176615,0.3368712460978906,0.3704696287281933,1,0.02777773531504879,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-05,GLD,Gold,0.5810530548502948,0.4368892532431218,0.49223919665761867,0.5033938349170118,1,0.007201467069320566,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-06,GLD,Gold,0.597554673263287,0.4476045886559299,0.5127509174095426,0.5193033931095865,0,0.00026902321515720473,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-07,GLD,Gold,0.659756241580706,0.4469070870628865,0.6437853120506132,0.5834828802314019,1,0.010918598518360856,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-08,GLD,Gold,0.6645694150114431,0.447716645174852,0.6036998796227314,0.5719953132696755,0,-0.004579349229172247,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-11,GLD,Gold,0.7304794466710693,0.4612065850227717,0.5557385522593767,0.5824748613177393,0,-0.011785572432769564,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-12,GLD,Gold,0.7046966096547892,0.46281597149019854,0.5332600740542108,0.5669242183997328,0,-0.014028377702336225,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-13,GLD,Gold,0.7742420210354392,0.47802132383637397,0.6075160904078954,0.6199264784265694,0,-0.037385674508855216,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-14,GLD,Gold,0.7985034082547716,0.4662867360889462,0.6577905774722125,0.6408602406053102,0,-0.043381243089415156,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-15,GLD,Gold,0.8289054150291059,0.4676933056868651,0.6841970334409493,0.6602652513856401,0,-0.03048887998204075,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-19,GLD,Gold,0.8691833236452674,0.48351120208231146,0.7469116878327844,0.6998687378534544,0,-0.03550931854084538,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
2010-01-20,GLD,Gold,0.7896469494573211,0.4727611985412603,0.6703485231900211,0.6442522237295342,0,-0.022122302259040327,Fragile Late-Cycle Watch,Growth Down / Inflation Down,2010
