strategy_label,rank,regime_label,total_return,cagr,max_drawdown,hit_rate,windows,is_best,is_worst
ML Probability Rotation,1,Fragile Late-Cycle Watch,1.4569292756446868,0.07352084920039847,-0.094531040947609,0.6714285714285714,140,True,False
ML Probability Rotation,2,Liquidity Bubble Or Valuation Stretch,0.49729843593273837,0.04439805074171166,-0.0765474138158474,0.6236559139784946,93,False,False
ML Probability Rotation,3,Inflationary Boom,0.396659300115781,0.018985603530234707,-0.12117991998080435,0.5596330275229358,109,False,False
ML Probability Rotation,4,Sideways Low-Volatility Regime,0.13511311583841867,0.013286515092543194,-0.050701529793702016,0.7,30,False,False
ML Probability Rotation,5,Credit Deleveraging,0.013058517399785918,0.008880147867392996,-0.2685409945576518,0.4897959183673469,49,False,False
ML Probability Rotation,6,Rate-Shock Regime,-0.03805803732510593,-0.044828599800370794,-0.15159595688815475,0.4666666666666667,15,False,False
ML Probability Rotation,7,Unknown,-0.03887134610955656,,-0.06335634574022442,0.4,20,False,False
ML Probability Rotation,8,Cash,-0.09023681168165432,-0.004956324273967527,-0.0888701168569398,0.0,140,False,False
ML Probability Rotation,9,Disinflationary Growth,-0.20310996965721528,-0.029451554834582838,-0.24234010417462093,0.44,50,False,False
ML Probability Rotation,10,Panic Or Forced Liquidation,-0.3292205156848985,,-0.2899914503297787,0.35294117647058826,17,False,True
ML Probability Rotation x3 @ 6%,1,Fragile Late-Cycle Watch,7.47602109722313,0.18373521470600673,-0.27687817471742504,0.65,140,True,False
ML Probability Rotation x3 @ 6%,2,Liquidity Bubble Or Valuation Stretch,1.5228257538982746,0.10471347736414982,-0.2407506981211055,0.6129032258064516,93,False,False
ML Probability Rotation x3 @ 6%,3,Inflationary Boom,0.8864101872121444,0.036375834098968385,-0.34796573181551926,0.5412844036697247,109,False,False
ML Probability Rotation x3 @ 6%,4,Sideways Low-Volatility Regime,0.3312485707745594,0.030247210841302552,-0.15348130688949324,0.6333333333333333,30,False,False
ML Probability Rotation x3 @ 6%,5,Unknown,-0.16104379989254292,,-0.20530246571683797,0.3,20,False,False
ML Probability Rotation x3 @ 6%,6,Rate-Shock Regime,-0.1731872068117335,-0.20132132551548798,-0.409288327585851,0.4666666666666667,15,False,False
ML Probability Rotation x3 @ 6%,7,Credit Deleveraging,-0.20442802464444665,-0.14430427296355353,-0.6569824417625524,0.46938775510204084,49,False,False
ML Probability Rotation x3 @ 6%,8,Cash,-0.46277759070061564,-0.03211755899666646,-0.45892059448657074,0.0,140,False,False
ML Probability Rotation x3 @ 6%,9,Disinflationary Growth,-0.605635742383126,-0.11530778464854485,-0.6527792177254568,0.42,50,False,False
ML Probability Rotation x3 @ 6%,10,Panic Or Forced Liquidation,-0.7655844910265971,,-0.7104846372231424,0.35294117647058826,17,False,True
ML Quality-Weighted Rotation,1,Fragile Late-Cycle Watch,1.4395435363397593,0.07291936074058047,-0.09528518066700109,0.6428571428571429,140,True,False
ML Quality-Weighted Rotation,2,Liquidity Bubble Or Valuation Stretch,0.6725608379991546,0.056913765789402104,-0.0687484004641381,0.6021505376344086,93,False,False
ML Quality-Weighted Rotation,3,Inflationary Boom,0.3707670104282077,0.017912712148437926,-0.14005289063240334,0.5412844036697247,109,False,False
ML Quality-Weighted Rotation,4,Sideways Low-Volatility Regime,0.13017408114227136,0.012826430597701055,-0.05097639116084951,0.7333333333333333,30,False,False
