regime_label,windows,spy_total_return,spy_max_drawdown,quality_total_return,quality_max_drawdown,reserve_total_return,reserve_max_drawdown,quality_minus_spy,reserve_minus_spy
Cash,140,-0.8012262175823988,-0.7959560847906212,-0.46277759070061564,-0.45892059448657074,0.0008129039300250884,-0.1756663018264929,0.3384486268817831,0.8020391215124238
Credit Deleveraging,49,-0.20418801831566002,-0.7190296076384821,-0.21542673469844542,-0.6974489752020809,0.0019422049209625314,-0.4357712881268627,-0.011238716382785396,0.20613022323662256
Disinflationary Growth,50,-0.4212747238426755,-0.5202285857452782,-0.6632421053616053,-0.7066088657922852,-0.20139887092231312,-0.22904266037932908,-0.24196738151892982,0.21987585292036238
Fragile Late-Cycle Watch,140,10.826800296766486,-0.2706386028134047,7.181390093893521,-0.2797540155102747,2.494642722261832,-0.1682683067158237,-3.6454102028729647,-8.332157574504654
Inflationary Boom,109,1.7511872146997183,-0.34101436608008096,0.7213868732345181,-0.4027230182742889,0.4270463715005408,-0.08667240355199612,-1.0298003414652002,-1.3241408431991775
Liquidity Bubble Or Valuation Stretch,93,3.304835016350176,-0.11989070254474399,2.4759090552741334,-0.22080918897757018,0.4640415792071877,-0.038227171152475314,-0.8289259610760427,-2.840793437142988
Panic Or Forced Liquidation,17,-0.6924215428731784,-0.618156475383058,-0.6659515933454108,-0.589666527284435,-0.4596928693608968,-0.3998756403599507,0.0264699495277676,0.23272867351228155
Rate-Shock Regime,15,-0.051321612724188226,-0.34070774039474305,-0.17303788457399039,-0.3978082912259895,0.057873980023039895,-0.11621369623556999,-0.12171627184980216,0.10919559274722812
Sideways Low-Volatility Regime,30,0.4752165896113567,-0.14141100158834818,0.3139708495502582,-0.15425574552763688,0.11757981181481214,-0.029682763484510488,-0.16124574006109849,-0.35763677779654457
Unknown,20,-0.032616059136098,-0.1449638500390913,-0.16140425820797744,-0.20442177299612463,-0.01755094820058789,-0.03875594574609709,-0.12878819907187944,0.015065110935510106
