strategy_label,symbol,sector_label,selected_windows,avg_strategy_return,median_strategy_return,avg_spy_drawdown_signal,latest_signal_date,selection_share_active
ML Probability Rotation,XLF,Financials,106,0.003465832725814951,0.0032792537500062544,-0.025586481581215795,2024-11-05,0.3464052287581699
ML Probability Rotation,XLV,Health Care,98,0.0012130490144914095,0.0028548368673203613,-0.0661787097093341,2022-07-18,0.3202614379084967
ML Probability Rotation,XLK,Information Technology,96,0.0016918943629296189,0.004284016036503586,-0.05262911990821869,2024-11-05,0.3137254901960784
ML Probability Rotation,XLU,Utilities,92,0.0042592218670666725,0.002566316216015943,-0.04400296151472461,2024-07-08,0.3006535947712418
ML Probability Rotation,XLY,Retail / Consumer Discretionary,84,0.005610719644939565,0.006436256308676327,-0.03290809877453062,2024-07-15,0.27450980392156865
ML Probability Rotation,XLI,Manufacturing / Industrials,72,0.004413568222682846,0.00692571377719689,-0.026348247156615108,2024-10-03,0.23529411764705882
ML Probability Rotation,XLP,Consumer Staples,58,0.002031748818213921,0.002424301528196616,-0.07376572840075787,2024-07-15,0.1895424836601307
ML Probability Rotation,XLB,Commodity / Materials,54,0.002989382305586118,0.006040213926965406,-0.038745447025615394,2024-09-10,0.17647058823529413
ML Probability Rotation,XLE,Energy,45,0.0015886955028334214,0.0034261747851144675,-0.020473563787479786,2024-11-05,0.14705882352941177
ML Quality-Weighted Rotation,XLF,Financials,137,0.0044003512722066585,0.0054488726585627005,-0.02732009038386533,2024-11-05,0.4477124183006536
ML Quality-Weighted Rotation,XLY,Retail / Consumer Discretionary,99,0.005170057052761424,0.007073305996913419,-0.03718791227507943,2024-07-15,0.3235294117647059
ML Quality-Weighted Rotation,XLI,Manufacturing / Industrials,94,0.004817022816980263,0.006530094173864001,-0.03027987916817735,2024-11-05,0.30718954248366015
ML Quality-Weighted Rotation,XLK,Information Technology,89,0.0010025215103647925,0.005970393175759425,-0.05883966036194713,2024-08-12,0.2908496732026144
ML Quality-Weighted Rotation,XLU,Utilities,72,0.0034103900444097707,0.002667768901320632,-0.04210214253503732,2024-07-08,0.23529411764705882
ML Quality-Weighted Rotation,XLB,Commodity / Materials,61,0.004172157640675359,0.008842195622681183,-0.0352838603390286,2024-11-05,0.19934640522875818
ML Quality-Weighted Rotation,XLV,Health Care,61,0.0005365020451413172,0.0019416552535602705,-0.0810051753581552,2022-07-18,0.19934640522875818
ML Quality-Weighted Rotation,XLE,Energy,47,0.002119832797699104,0.003860647252451276,-0.01939619383895169,2024-09-17,0.15359477124183007
ML Quality-Weighted Rotation,XLP,Consumer Staples,45,-0.0007784413913591851,-0.0002469605344509211,-0.08239063903870895,2023-10-19,0.14705882352941177
Quality Rotation + SPY Reserve Sleeve,SPY,SPY,185,0.003644809281473503,0.001335087467864663,-0.08181973744981966,2024-09-17,1.0
