,crosses,per_decade,whipsaw_rate_%,median_hold_m,golden_fwd12_%,death_fwd12_%
Communication Svcs,22.0,8.5,41.0,8.0,42.4,24.1
Consumer Cyclical,23.0,8.9,52.0,6.0,30.2,34.8
Consumer Defensive,22.0,8.5,41.0,8.0,13.5,16.4
Energy,26.0,10.1,46.0,6.0,9.0,6.6
Financials,18.0,7.0,22.0,8.0,19.5,10.4
Health Care,22.0,8.5,45.0,7.0,18.8,19.0
Industrials,20.0,7.8,35.0,8.0,21.9,20.8
Materials,33.0,12.8,36.0,7.0,17.6,26.1
Real Estate,34.0,13.2,65.0,4.0,13.7,16.5
Technology,26.0,10.1,46.0,7.0,26.9,25.9
Utilities,20.0,7.8,55.0,6.0,11.5,10.0
Broad market,22.0,8.5,41.0,8.0,24.9,24.8
