symbol,book,growth,cagr_%,vol_%,sharpe,maxdd_%,time_in_mkt_%,trades,avg_hold_d
SPY,SMA cross,8.79,8.5,12.8,0.71,-35.0,70.0,17.0,517.0
SPY,Confirmed-cross filter,6.7,7.4,12.0,0.66,-35.0,62.0,15.0,516.0
SPY,Cross + VWAP step-aside,4.97,6.2,9.5,0.68,-23.0,57.0,117.0,63.0
SPY,Price vs 200d VWAP,4.63,5.9,11.0,0.58,-23.0,72.0,209.0,45.0
SPY,Buy & hold,8.15,8.2,19.3,0.51,-55.0,100.0,1.0,6673.0
XLK,SMA cross,14.06,10.5,16.7,0.68,-31.0,69.0,23.0,383.0
XLK,Confirmed-cross filter,14.82,10.7,16.6,0.7,-31.0,68.0,21.0,414.0
XLK,Cross + VWAP step-aside,9.28,8.8,14.1,0.67,-30.0,61.0,113.0,71.0
XLK,Price vs 200d VWAP,10.52,9.3,15.1,0.67,-31.0,69.0,165.0,55.0
XLK,Buy & hold,8.54,8.4,25.9,0.44,-82.0,100.0,1.0,6673.0
XLF,SMA cross,4.96,6.2,15.6,0.47,-43.0,63.0,24.0,347.0
XLF,Confirmed-cross filter,5.01,6.3,13.5,0.52,-43.0,55.0,16.0,457.0
XLF,Cross + VWAP step-aside,5.04,6.3,10.8,0.62,-24.0,49.0,88.0,74.0
XLF,Price vs 200d VWAP,3.98,5.3,13.6,0.45,-38.0,66.0,221.0,39.0
XLF,Buy & hold,5.08,6.3,28.3,0.36,-83.0,100.0,1.0,6673.0
XLV,SMA cross,4.01,5.4,13.1,0.47,-43.0,68.0,25.0,351.0
XLV,Confirmed-cross filter,6.48,7.3,12.1,0.64,-28.0,62.0,19.0,411.0
XLV,Cross + VWAP step-aside,3.34,4.6,9.7,0.52,-26.0,53.0,155.0,44.0
XLV,Price vs 200d VWAP,1.7,2.0,11.3,0.23,-41.0,68.0,313.0,28.0
XLV,Buy & hold,7.91,8.1,17.8,0.53,-39.0,100.0,1.0,6673.0
XLI,SMA cross,8.59,8.4,14.8,0.62,-42.0,72.0,19.0,479.0
XLI,Confirmed-cross filter,9.53,8.9,11.3,0.81,-20.0,59.0,13.0,557.0
XLI,Cross + VWAP step-aside,4.64,6.0,10.3,0.62,-20.0,53.0,125.0,55.0
XLI,Price vs 200d VWAP,5.63,6.7,13.0,0.57,-23.0,71.0,213.0,44.0
XLI,Buy & hold,9.95,9.0,21.2,0.52,-62.0,100.0,1.0,6673.0
